Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_Symmetries
test1387685.run0000.test_1200_16_instance_108.log,test_1200_16_instance_108,1.0,2.0,2570.0,1187.0,0.0,0.0,579.0,633.0,633.0,2.0,0.375,137.0,1.0,9.320539164274258,7.090076835776092,1.0,0.0,0.0,0.0,0.054954468762559085,0.37518087665997857,0.4095174796558173,-5.827122254261373,9.32482909846088,7.090076835776092,0.0023211896905377,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0001.test_1200_16_instance_133.log,test_1200_16_instance_133,1.0,2.0,2491.0,1191.0,0.0,0.0,548.0,414.0,572.0,2.0,0.359,126.0,1.0,9.330165765044532,7.090076835776092,1.0,0.0,0.0,0.0,0.04971783990215885,0.35857241144336083,0.39046280560004765,-6.212147835646232,9.333177281935246,7.090076835776092,0.0023121370242622,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0002.test_1200_16_instance_158.log,test_1200_16_instance_158,1.0,2.0,2518.0,1194.0,0.0,0.0,580.0,481.0,586.0,2.0,0.385,129.0,1.0,9.324472306021095,7.090076835776092,1.0,0.0,0.0,0.0,0.046972485253108126,0.3853678024923336,0.41423860432584786,-7.2041178024923465,9.326700173092378,7.090076835776092,0.0023180375051925,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0003.test_1200_16_instance_336.log,test_1200_16_instance_336,1.0,2.0,2910.0,1191.0,0.0,0.0,532.0,538.0,706.0,0.0,0.366,141.0,1.0,9.323490469908839,7.090076835776092,1.0,0.0,0.0,0.0,0.046878602345661595,0.3660152473333016,0.3957355664467764,-6.807725252439713,9.325809621782296,7.090076835776092,0.0023163162271323,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0004.test_1200_16_instance_386.log,test_1200_16_instance_386,1.0,2.0,2450.0,1192.0,0.0,0.0,618.0,474.0,548.0,2.0,0.358,132.0,1.0,9.329455852866344,7.090076835776092,1.0,0.0,0.0,0.0,0.047942113587214584,0.3582778405104912,0.38904335717216987,-6.47313402982797,9.332115428902105,7.090076835776092,0.0023126014460675,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0005.test_1200_16_instance_392.log,test_1200_16_instance_392,1.0,2.0,2522.0,1189.0,0.0,0.0,581.0,571.0,646.0,0.0,0.352,139.0,1.0,9.324383088016843,7.090076835776092,1.0,0.0,0.0,0.0,0.0493132316568206,0.3524955838743754,0.38442611914559266,-6.148093362192399,9.32750099174976,7.090076835776092,0.0023178866850484,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0006.test_1200_16_instance_459.log,test_1200_16_instance_459,1.0,2.0,2677.0,1191.0,0.0,0.0,598.0,563.0,603.0,4.0,0.371,151.0,1.0,9.334326351757174,7.090076835776092,1.0,0.0,0.0,0.0,0.047357169431783155,0.3714330959965404,0.4012002453686436,-6.843228395049681,9.337237305164534,7.090076835776092,0.0023085674858334,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0007.test_1200_16_instance_462.log,test_1200_16_instance_462,1.0,2.0,2535.0,1194.0,0.0,0.0,548.0,481.0,582.0,0.0,0.356,135.0,1.0,9.33326571881348,7.090076835776092,1.0,0.0,0.0,0.0,0.04895441925233261,0.3561839265464389,0.3877015685276751,-6.27582784121103,9.336267928573973,7.090076835776092,0.0023099982366425,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0008.test_1200_16_instance_559.log,test_1200_16_instance_559,1.0,2.0,2623.0,1194.0,0.0,0.0,540.0,469.0,618.0,3.0,0.344,125.0,1.0,9.337061124755339,7.090076835776092,1.0,0.0,0.0,0.0,0.05132575028851715,0.34426675422729364,0.3779227550557024,-5.7074860531423095,9.338293736286644,7.090076835776092,0.0022985775040328,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0009.test_1200_16_instance_566.log,test_1200_16_instance_566,1.0,2.0,2685.0,1195.0,0.0,0.0,571.0,728.0,744.0,0.0,0.37,135.0,1.0,9.336708670790989,7.090076835776092,1.0,0.0,0.0,0.0,0.047162647853943994,0.3701550269775491,0.3998601836427838,-6.848478485005051,9.33917324381915,7.090076835776092,0.0023005128205128,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0010.test_1200_16_instance_57.log,test_1200_16_instance_57,1.0,2.0,2770.0,1196.0,0.0,0.0,540.0,605.0,715.0,2.0,0.384,141.0,1.0,9.327323087461796,7.090076835776092,1.0,0.0,0.0,0.0,0.04580729106159524,0.383941072624338,0.41216106322172913,-7.381658546628914,9.330520532232288,7.090076835776092,0.0023114155656055,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0011.test_1200_16_instance_609.log,test_1200_16_instance_609,1.0,2.0,2445.0,1191.0,0.0,0.0,579.0,558.0,609.0,2.0,0.359,123.0,1.0,9.322865162818026,7.090076835776092,1.0,0.0,0.0,0.0,0.047112729197404724,0.3590899854654233,0.38928500542009553,-6.621931303551065,9.325364048544964,7.090076835776092,0.002316382921829,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0012.test_1200_16_instance_619.log,test_1200_16_instance_619,1.0,2.0,2430.0,1192.0,0.0,0.0,544.0,287.0,491.0,2.0,0.33,132.0,1.0,9.329278296047697,7.090076835776092,1.0,0.0,0.0,0.0,0.045678777535210546,0.33002214313097344,0.3606259126084108,-6.224846218281185,9.332558004700433,7.090076835776092,0.0023040560471976,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0015.test_1200_16_instance_62.log,test_1200_16_instance_62,1.0,2.0,2663.0,1195.0,0.0,0.0,572.0,372.0,628.0,0.0,0.362,141.0,1.0,9.33264649636015,7.090076835776092,1.0,0.0,0.0,0.0,0.05144395728430082,0.3624514568835897,0.3952494769023385,-6.04555940128267,9.335121088873487,7.090076835776092,0.0023027186865566,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1387685.run0013.test_1200_16_instance_621.log,test_1200_16_instance_621,1.0,2.0,2291.0,1192.0,0.0,0.0,517.0,319.0,508.0,2.0,0.41,124.0,1.0,9.328123407632566,7.090076835776092,1.0,0.0,0.0,0.0,0.04529817367576597,0.4102363952868628,0.43695160948080425,-8.056356183877117,9.330165765044532,7.090076835776092,0.002309204884828,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
