Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_Symmetries
test1542192.run0000.test_1082.proto.log,test_1082.proto,0.0,1.0,0.0,72.0,2.0,5.0,0.0,0.0,0.0,0.0,0.368,0.6,0.000765,7.037905963447182,7.175489713624222,0.09563886763580719,0.0,inf,25.197066793314473,0.0,0.36771162426295895,0.36771162426295895,-inf,8.771059915373288,8.865735152124781,0.0056315175418954,0.0,0.0200423429781227,0.1511644318983768,0.1314043754410727,0.9335919317300232,0.0440651667959658,0.0223429014740108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440651667959658,0.0,0.9559348332040342,1
test1542192.run0001.test_1087.proto.log,test_1087.proto,0.0,1.0,0.0,97.0,2.0,5.0,0.0,0.0,0.0,4.0,0.214,0.69,0.000664,7.224753405767971,7.316548177182976,0.11694352159468438,0.0,inf,25.34673350737608,0.0,0.21412512544947815,0.21412512544947815,-inf,8.787067645218054,8.875426919818963,0.005714880785364,0.0,0.024601621470506,0.1593514117975957,0.1351691361476097,0.918918918918919,0.0537486639181554,0.0273324171629256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537486639181554,0.0,0.9462513360818444,1
test1542192.run0002.test_1112.proto.log,test_1112.proto,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,inf,0.53,0.000676,7.164720378771857,7.299797366758161,0.08986486486486486,0.0,inf,25.708971748000142,0.0,1.0,1.0,-inf,8.771525284186465,8.865735152124781,0.0074857587150709,0.0,0.0196189131968948,0.1511644318983768,0.1326746647847565,0.9340880893300249,0.0431141439205955,0.0227977667493796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431141439205955,0.0,0.9568858560794044,1
test1542192.run0003.test_1116.proto.log,test_1116.proto,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,inf,0.65,0.000699,7.202661196523238,7.265429723253953,0.12867132867132866,0.0,inf,23.099755959424787,0.0,1.0,1.0,-inf,8.790116892892472,8.877381954654766,0.0052937150346323,0.0,0.0256696428571428,0.1609933035714285,0.1354631696428571,0.9158167148728878,0.0560207033033947,0.0281625818237174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0560207033033947,0.0,0.9439792966966052,1
test1542192.run0004.test_1144.proto.log,test_1144.proto,0.0,1.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,5.0,inf,0.74,0.000606,7.298445101508147,7.408530566894626,0.10909090909090909,0.0,inf,26.747566026941996,0.0,1.0,1.0,-inf,8.788593431293735,8.87640491500694,0.0060371097114503,0.0,0.0251361541684122,0.1601731601731601,0.1353162966066191,0.9173654520506176,0.0548864156121359,0.0277481323372465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548864156121359,0.0,0.945113584387864,1
test1542192.run0005.test_120.proto.log,test_120.proto,0.0,1.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,3.0,1.955,0.77,0.000565,7.355001921105256,7.478734825567875,0.103954802259887,0.0,inf,26.64639679194827,0.0,1.0,1.0,-inf,8.790421306897867,8.877521453852872,0.007379016236884,0.0,0.0256660622123029,0.1611103361696192,0.1357232528944064,0.9156901537056764,0.0560036524121138,0.0283061938822097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0560036524121138,0.0,0.9439963475878862,1
test1542192.run0006.test_1231.proto.log,test_1231.proto,0.0,1.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,4.0,inf,0.76,0.0014299999999999,7.0085051820822795,7.239932591320469,0.06169296987087518,0.0,inf,26.957565148258784,0.0,1.0,1.0,-inf,8.80612448326845,8.88723835429314,0.0066844542125906,0.0,0.0303909379748584,0.1692222682690979,0.1388313302942395,0.901123595505618,0.0659176029962546,0.0329588014981273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659176029962546,0.0,0.9340823970037452,1
test1542192.run0007.test_1274.proto.log,test_1274.proto,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,inf,0.78,0.000755,7.1459844677143876,7.1891677384203225,0.1350943396226415,0.0,inf,23.035745003585653,0.0,1.0,1.0,-inf,8.790877754224164,8.877521453852872,0.0046442311980863,0.0,0.0252475938066675,0.1611103361696192,0.1369786581113126,0.916184971098266,0.0550654091877091,0.0287496197140249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0550654091877091,0.0,0.9449345908122908,1
test1542192.run0008.test_1303.proto.log,test_1303.proto,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,inf,0.82,0.000575,7.3388881338388785,7.461640392208574,0.10804597701149425,0.0,inf,25.801630578482847,0.0,1.0,1.0,-inf,8.79300509129753,8.87905466204227,0.0072249197917036,0.0,0.0263231197771587,0.1623955431754874,0.1364902506963788,0.9134790528233152,0.0573770491803278,0.029143897996357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573770491803278,0.0,0.9426229508196722,1
test1542192.run0009.test_1352.proto.log,test_1352.proto,0.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.46,0.000548,7.283448228756631,7.508787170634276,0.06962719298245613,0.0,inf,22.544418604871098,0.0,1.0,1.0,-inf,8.763740720509464,8.861350110795998,0.0094555260880805,0.0,0.0180039693790757,0.1474340799546356,0.1295718741139779,0.9402938418255704,0.0396999062206939,0.0200062519537355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396999062206939,0.0,0.960300093779306,1
