Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON
test1379017.run0247.c203.25.5.log,c203.25.5,1.0,2.0,54.6,123.0,0.0,0.0,150.0,5626.0,5027.0,102.0,0.1508,16.53,0.917,7.822444729489318,7.973155433444133,0.04169538249483115,3.2827891506118534,0.0,8.13739583005665,0.053173101715546636,0.15084121744294215,0.19599362376049834,-1.8367955333860002,8.176110342237342,8.125630988477065,0.0018837540259156,0.0384615384615384,0.9615384615384616,1.0,0.9615384615384616,0.0464135021097046,0.9170182841068916,0.0365682137834036,0.0098452883263009,0.0,0.0,0.0,0.0365682137834036,0.0,0.0014064697609001,0.0731364275668073,0.0,0.0,0.8790436005625879
test1379017.run0061.c103.50.25.log,c103.50.25,0.0,1.0,47.6,113.0,0.0,0.0,436.0,9934.0,46.0,19.0,0.08823,102.0,0.957,10.815328398336652,10.953924487999807,0.02142432404071496,4.04305126783455,0.0,7.146772179452637,0.0,0.08822528299284177,0.08822528299284177,-inf,11.104205064141391,11.082527090316852,0.0001029991069592,0.0196078431372549,0.9803921568627452,1.0,0.9803921568627452,0.0206922498118886,0.9601203912716328,0.0191873589164785,0.00150489089541,0.0,0.0,0.0,0.0191873589164785,0.0,0.0003762227238525,0.0383747178329571,0.0,0.0,0.9405568096313016
test1379017.run0614.r111.75.20.log,r111.75.20,1.0,2.0,4118.0,244.0,0.0,0.0,949.0,8447.0,20.0,77.0,inf,38.86,0.968,11.384807962189786,11.437339478013634,0.016177739430543573,3.275471492491835,0.0,5.438079308923196,0.0002807536199952218,1.0,1.0,-3560.841874085254,11.671594493098954,11.657198954126653,5.8835754363982937e-05,0.0131578947368421,0.986842105263158,1.0,0.986842105263158,0.0139511071291437,0.9730790562737318,0.0129698365971244,0.0009812705320192,0.0,0.0,0.0,0.0129698365971244,0.0,0.000170655744699,0.0259396731942489,0.0,0.0,0.9599385639319084
test1379017.run0037.c102.50.15.log,c102.50.15,0.0,1.0,110.5,203.0,0.0,0.0,208.0,9898.0,23.0,258.0,0.09974,22.99,0.951,9.828871759155337,10.215264497991953,0.0247098876157704,4.23410650459726,0.0,7.146772179452637,0.0,0.09974111259548829,0.09974111259548829,-inf,10.593880944899452,10.57170146655086,0.0001715791089856,0.0196078431372549,0.9803921568627452,1.0,0.9803921568627452,0.0211832539483579,0.9596390072699924,0.0191777387816495,0.0020055151667084,0.0,0.0,0.0,0.0191777387816495,0.0,0.0003760340937578,0.038355477563299,0.0,0.0,0.9400852343945852
test1379017.run0505.r106.75.25.log,r106.75.25,0.0,1.0,0.0,289.0,41.0,0.0,871.0,9717.0,17.0,39.0,inf,24.04,0.96,11.307204259347888,11.449516971777177,0.019977412205932493,3.275471492491835,0.0,5.579729825986222,0.0,1.0,1.0,-inf,11.894610044412987,11.880342505440863,4.70746286580439e-05,0.0131578947368421,0.986842105263158,1.0,0.986842105263158,0.0138248847926267,0.9732036183649088,0.0129714968424645,0.0008533879501621,0.0,0.0,0.0,0.0129714968424645,0.0,0.0001706775900324,0.0259429936849291,0.0,0.0,0.9600614439324116
test1379017.run0473.r105.30.5.log,r105.30.5,1.0,2.0,6284.0,179.0,0.0,0.0,169.0,2895.0,78.0,54.0,inf,2.27,0.932,7.166265974133638,7.725330037917134,0.052980132450331126,2.9714395809849465,0.0,4.0943445622221,0.10934716874663357,1.0,1.0,-8.145184200581204,8.51919119407891,8.477412321404392,0.0013463188087924,0.032258064516129,0.967741935483871,1.0,0.967741935483871,0.0389221556886227,0.9301397205588824,0.030938123752495,0.0079840319361277,0.0,0.0,0.0,0.030938123752495,0.0,0.0009980039920159,0.06187624750499,0.0,0.0,0.8982035928143712
test1379017.run0798.r208.30.10.log,r208.30.10,1.0,2.0,3659.0,105.0,0.0,0.0,223.0,5562.0,39.0,72.0,0.4437,4.1,0.938,9.13237883050647,9.18091156128537,0.030895983522142123,2.631888840136646,0.0,6.937314081223681,0.033110224492648194,0.4437422883498317,0.4621601060583356,-12.401971600898097,9.2093398716426,9.170559501964338,0.0006751809041091,0.032258064516129,0.967741935483871,1.0,0.967741935483871,0.036036036036036,0.9329329329329328,0.031031031031031,0.005005005005005,0.0,0.0,0.0,0.031031031031031,0.0,0.001001001001001,0.062062062062062,0.0,0.0,0.9009009009009008
test1379017.run0205.c201.30.15.log,c201.30.15,1.0,2.0,77.0,83.0,0.0,0.0,13.0,1939.0,19.0,27.0,0.1994,1.39,0.959,7.007600613951853,8.945723572455398,0.015635179153094463,3.396184839838611,0.0,5.686975356339819,9.605463142892821e-05,0.19938470127326896,0.1994616040807045,-2074.7427133619863,9.613803477413674,9.576024610072505,0.0004505716253874,0.032258064516129,0.967741935483871,1.0,0.967741935483871,0.0350701402805611,0.933867735470942,0.0310621242484969,0.0040080160320641,0.0,0.0,0.0,0.0310621242484969,0.0,0.001002004008016,0.0621242484969939,0.0,0.0,0.9018036072144288
test1379017.run1180.rc206.50.10.log,rc206.50.10,0.0,1.0,117.6,205.0,191.0,0.0,455.0,9946.0,3937.0,21.0,0.0637399999999999,74.25,0.921,9.11701821474481,9.439545514668987,0.03975826972010178,4.3000027991952905,0.0,6.171700597410915,0.037562060198104125,0.06374087442820561,0.09890869606395768,-0.6969483061374471,10.189042363971735,10.166236358442696,0.0002572074655182,0.0196078431372549,0.9803921568627452,1.0,0.9803921568627452,0.0217963171739947,0.9590379556557684,0.0191657271702367,0.0026305900037579,0.0,0.0,0.0,0.0191657271702367,0.0,0.0003757985719654,0.0383314543404735,0.0,0.0,0.9394964299135664
test1379017.run0336.c207.30.10.log,c207.30.10,1.0,2.0,54.9,26.0,13.0,0.0,102.0,2889.0,3708.0,119.0,0.06752,19.39,0.919,8.183118079394745,8.660427359502146,0.05199306759098787,3.095577608523707,0.0,7.7664168980196555,0.03027835350021363,0.06751806675442924,0.09575208436180124,-1.2299120972331892,9.2093398716426,9.170559501964338,0.0006751809041091,0.032258064516129,0.967741935483871,1.0,0.967741935483871,0.036036036036036,0.9329329329329328,0.031031031031031,0.005005005005005,0.0,0.0,0.0,0.031031031031031,0.0,0.001001001001001,0.062062062062062,0.0,0.0,0.9009009009009008
