Log Name,File Name,c_i,c_d,c_p
test1542205.run0000.test_1600r_1600c_0.01d_instance_148.log,test_1600r_1600c_0.01d_instance_148,23964.12,24684.71,25131.0
test1542205.run0001.test_1600r_1600c_0.01d_instance_284.log,test_1600r_1600c_0.01d_instance_284,25141.46,25805.32,26160.0
test1542205.run0002.test_1600r_1600c_0.01d_instance_314.log,test_1600r_1600c_0.01d_instance_314,26506.48,27218.01,27893.0
test1542205.run0003.test_1600r_1600c_0.01d_instance_332.log,test_1600r_1600c_0.01d_instance_332,24797.43,25321.03,25764.0
test1542205.run0004.test_1600r_1600c_0.01d_instance_333.log,test_1600r_1600c_0.01d_instance_333,25572.63,26261.48,26644.0
test1542205.run0005.test_1600r_1600c_0.01d_instance_363.log,test_1600r_1600c_0.01d_instance_363,22751.24,23270.2,23586.0
test1542205.run0006.test_1600r_1600c_0.01d_instance_458.log,test_1600r_1600c_0.01d_instance_458,23906.15,24701.37,25139.0
test1542205.run0007.test_1600r_1600c_0.05d_instance_141.log,test_1600r_1600c_0.05d_instance_141,2175.547,2374.572,2482.0
test1542205.run0008.test_1600r_1600c_0.05d_instance_172.log,test_1600r_1600c_0.05d_instance_172,2021.218,2177.772,2250.0
test1542205.run0009.test_1600r_1600c_0.05d_instance_22.log,test_1600r_1600c_0.05d_instance_22,1642.977,1789.28,1866.0
test1542205.run0010.test_1600r_1600c_0.05d_instance_254.log,test_1600r_1600c_0.05d_instance_254,1712.988,1894.053,1973.0
test1542205.run0011.test_1600r_1600c_0.05d_instance_290.log,test_1600r_1600c_0.05d_instance_290,2100.414,2304.826,2493.0
test1542205.run0012.test_1600r_1600c_0.05d_instance_313.log,test_1600r_1600c_0.05d_instance_313,1909.259,2051.338,2129.0
test1542205.run0013.test_1600r_1600c_0.05d_instance_362.log,test_1600r_1600c_0.05d_instance_362,1793.001,1922.625,2008.0
test1542205.run0014.test_1600r_1600c_0.05d_instance_366.log,test_1600r_1600c_0.05d_instance_366,1803.41,1975.791,2127.0
test1542205.run0015.test_1600r_1600c_0.05d_instance_436.log,test_1600r_1600c_0.05d_instance_436,1926.78,2117.906,2230.0
test1542205.run0016.test_1600r_1600c_0.05d_instance_447.log,test_1600r_1600c_0.05d_instance_447,2135.526,2399.703,2557.0
test1542205.run0017.test_1600r_1600c_0.05d_instance_473.log,test_1600r_1600c_0.05d_instance_473,2062.685,2260.284,2414.0
test1542205.run0018.test_1600r_1600c_0.05d_instance_481.log,test_1600r_1600c_0.05d_instance_481,2002.664,2166.535,2329.0
test1542205.run0019.test_1600r_1600c_0.05d_instance_485.log,test_1600r_1600c_0.05d_instance_485,1832.471,1968.839,2050.0
test1542205.run0020.test_1600r_1600c_0.05d_instance_52.log,test_1600r_1600c_0.05d_instance_52,1736.197,1938.712,2025.0
test1542205.run0021.test_1600r_1600c_0.05d_instance_87.log,test_1600r_1600c_0.05d_instance_87,1824.004,1984.808,2082.0
test1542205.run0022.test_1600r_400c_0.01d_instance_119.log,test_1600r_400c_0.01d_instance_119,52530.0,52530.0,52530.0
test1542205.run0023.test_1600r_400c_0.01d_instance_143.log,test_1600r_400c_0.01d_instance_143,52654.0,52654.0,52654.0
test1542205.run0024.test_1600r_400c_0.01d_instance_15.log,test_1600r_400c_0.01d_instance_15,49434.0,49434.0,49434.0
test1542205.run0025.test_1600r_400c_0.01d_instance_209.log,test_1600r_400c_0.01d_instance_209,50566.0,50566.0,50566.0
test1542205.run0026.test_1600r_400c_0.01d_instance_283.log,test_1600r_400c_0.01d_instance_283,46408.0,46408.0,46408.0
test1542205.run0028.test_1600r_400c_0.01d_instance_38.log,test_1600r_400c_0.01d_instance_38,43081.0,43081.0,43081.0
test1542205.run0027.test_1600r_400c_0.01d_instance_381.log,test_1600r_400c_0.01d_instance_381,51394.0,51394.0,51394.0
test1542205.run0029.test_1600r_400c_0.01d_instance_390.log,test_1600r_400c_0.01d_instance_390,49988.0,49988.0,49988.0
test1542205.run0030.test_1600r_400c_0.01d_instance_391.log,test_1600r_400c_0.01d_instance_391,48001.0,48001.0,48001.0
test1542205.run0031.test_1600r_400c_0.01d_instance_426.log,test_1600r_400c_0.01d_instance_426,52353.0,52353.0,52353.0
test1542205.run0032.test_1600r_400c_0.05d_instance_100.log,test_1600r_400c_0.05d_instance_100,7030.457,7706.203,8193.0
test1542205.run0033.test_1600r_400c_0.05d_instance_14.log,test_1600r_400c_0.05d_instance_14,6598.147,7051.1,7633.0
