Log Name,File Name,c_i,Nodes,Active,LPit/n,IntInf,GlbFix,GlbRed,#Cuts,#MCP,#Sepa,#Conf,BestBound,BestSolution,Gap,Time,pres_max_A,pres_min_A,pres_max_rhs,pres_min_rhs,pres_max_obj,pres_min_obj,obj_density
test1542218.run0000.load_balancing_0.log,load_balancing_0,433.7525,0.0,1.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,433.7525,839.0,0.483,5.22,1.0,0.101,9.89,0.0,1.0,1.0,0.22
test1542218.run1111.load_balancing_1.log,load_balancing_1,387.6339,0.0,1.0,0.0,579.0,0.0,0.0,0.0,0.0,0.0,1.0,387.6339,850.0,0.544,4.28,1.0,0.101,9.81,0.0,1.0,1.0,0.21600000000000003
test1542218.run0111.load_balancing_10.log,load_balancing_10,419.4203,0.0,1.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,1.0,419.4203,867.0,0.516,4.24,1.0,0.101,9.25,0.0,1.0,1.0,0.223
test1542218.run0011.load_balancing_100.log,load_balancing_100,376.1771,0.0,1.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,1.0,376.1771,805.0,0.5329999999999999,4.74,1.0,0.101,8.78,0.0,1.0,1.0,0.212
test1542218.run0001.load_balancing_1000.log,load_balancing_1000,348.0782,0.0,1.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,3.0,348.0782,811.0,0.5710000000000001,3.85,1.0,0.1,9.62,0.0,1.0,1.0,0.22399999999999998
test1542218.run0002.load_balancing_1001.log,load_balancing_1001,374.9374,0.0,1.0,0.0,552.0,0.0,0.0,0.0,0.0,0.0,1.0,374.9374,847.0,0.557,4.32,1.0,0.1,9.18,0.0,1.0,1.0,0.21899999999999997
test1542218.run0003.load_balancing_1002.log,load_balancing_1002,393.7308,0.0,1.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,3.0,393.7308,816.0,0.517,4.79,1.0,0.1,9.53,0.0,1.0,1.0,0.22
test1542218.run0004.load_balancing_1003.log,load_balancing_1003,315.4417,0.0,1.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,3.0,315.4417,793.0,0.602,3.87,1.0,0.1,7.93,0.0,1.0,1.0,0.215
test1542218.run0005.load_balancing_1004.log,load_balancing_1004,371.3344,0.0,1.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,1.0,371.3344,842.0,0.5589999999999999,4.04,1.0,0.101,8.92,0.0,1.0,1.0,0.225
test1542218.run0006.load_balancing_1005.log,load_balancing_1005,475.2451,0.0,1.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,1.0,475.2451,874.0,0.456,4.6,1.0,0.1,9.54,0.0,1.0,1.0,0.223
test1542218.run0007.load_balancing_1006.log,load_balancing_1006,301.127,0.0,1.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,2.0,301.127,774.0,0.611,3.81,1.0,0.101,8.69,0.0,1.0,1.0,0.214
test1542218.run0008.load_balancing_1007.log,load_balancing_1007,408.2116,0.0,1.0,0.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,408.2116,856.0,0.523,4.11,1.0,0.101,9.68,0.0,1.0,1.0,0.218
test1542218.run0009.load_balancing_1008.log,load_balancing_1008,407.7474,0.0,1.0,0.0,626.0,0.0,0.0,0.0,0.0,0.0,2.0,407.7474,860.0,0.526,4.14,1.0,0.101,9.87,0.0,1.0,1.0,0.228
test1542218.run0010.load_balancing_1009.log,load_balancing_1009,340.2517,0.0,1.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,1.0,340.2517,782.0,0.565,3.7,4.0,0.101,7.65,0.0,1.0,1.0,0.212
test1542218.run0022.load_balancing_101.log,load_balancing_101,363.8028,0.0,1.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,363.8028,803.0,0.547,4.2,1.0,0.1,9.98,0.0,1.0,1.0,0.225
test1542218.run0012.load_balancing_1010.log,load_balancing_1010,392.4731,0.0,1.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,3.0,392.4731,798.0,0.508,4.15,1.0,0.101,9.69,0.0,1.0,1.0,0.218
test1542218.run0013.load_balancing_1011.log,load_balancing_1011,376.2093,0.0,1.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,5.0,376.2093,826.0,0.545,4.18,1.0,0.1,8.74,0.0,1.0,1.0,0.22699999999999998
test1542218.run0014.load_balancing_1012.log,load_balancing_1012,406.0153,0.0,1.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,2.0,406.0153,817.0,0.503,4.63,3.0,0.101,9.91,0.0,1.0,1.0,0.213
test1542218.run0015.load_balancing_1013.log,load_balancing_1013,418.8089,0.0,1.0,0.0,459.0,0.0,0.0,0.0,0.0,0.0,1.0,418.8089,816.0,0.48700000000000004,4.49,1.0,0.1,9.99,0.0,1.0,1.0,0.223
test1542218.run0016.load_balancing_1014.log,load_balancing_1014,380.3477,0.0,1.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0,3.0,380.3477,821.0,0.537,4.19,1.0,0.101,9.68,0.0,1.0,1.0,0.218
test1542218.run0017.load_balancing_1015.log,load_balancing_1015,412.4825,0.0,1.0,0.0,487.0,0.0,0.0,0.0,0.0,0.0,1.0,412.4825,830.0,0.503,4.73,2.0,0.1,9.84,0.0,1.0,1.0,0.21
test1542218.run0018.load_balancing_1016.log,load_balancing_1016,304.0276,0.0,1.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,3.0,304.0276,804.0,0.622,3.91,1.0,0.1,9.24,0.0,1.0,1.0,0.214
test1542218.run0019.load_balancing_1017.log,load_balancing_1017,379.2195,0.0,1.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,1.0,379.2195,839.0,0.5479999999999999,4.43,1.0,0.101,9.83,0.0,1.0,1.0,0.21899999999999997
test1542218.run0020.load_balancing_1018.log,load_balancing_1018,434.2389,0.0,1.0,0.0,574.0,0.0,0.0,0.0,0.0,0.0,2.0,434.2389,864.0,0.49700000000000005,3.84,2.0,0.101,9.18,0.0,1.0,1.0,0.217
test1542218.run0021.load_balancing_1019.log,load_balancing_1019,370.1506,0.0,1.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,2.0,370.1506,806.0,0.541,4.27,1.0,0.101,9.99,0.0,1.0,1.0,0.218
test1542218.run0033.load_balancing_102.log,load_balancing_102,389.3249,0.0,1.0,0.0,513.0,0.0,0.0,0.0,0.0,0.0,1.0,389.3249,820.0,0.525,4.38,1.0,0.101,9.06,0.0,1.0,1.0,0.225
test1542218.run0023.load_balancing_1020.log,load_balancing_1020,408.8618,0.0,1.0,0.0,517.0,0.0,0.0,0.0,0.0,0.0,1.0,408.8618,844.0,0.516,4.98,1.0,0.1,9.72,0.0,1.0,1.0,0.209
test1542218.run0024.load_balancing_1021.log,load_balancing_1021,307.3821,0.0,1.0,0.0,597.0,0.0,0.0,0.0,0.0,0.0,1.0,307.3821,822.0,0.626,3.61,1.0,0.102,7.86,0.0,1.0,1.0,0.228
test1542218.run0025.load_balancing_1022.log,load_balancing_1022,329.1037,0.0,1.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,1.0,329.1037,807.0,0.5920000000000001,4.09,1.0,0.1,9.62,0.0,1.0,1.0,0.222
test1542218.run0026.load_balancing_1023.log,load_balancing_1023,416.3707,0.0,1.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,416.3707,834.0,0.501,4.82,1.0,0.1,9.92,0.0,1.0,1.0,0.223
test1542218.run0027.load_balancing_1024.log,load_balancing_1024,392.2446,0.0,1.0,0.0,529.0,0.0,0.0,0.0,0.0,0.0,2.0,392.2446,829.0,0.527,4.46,1.0,0.101,9.65,0.0,1.0,1.0,0.218
test1542218.run0028.load_balancing_1025.log,load_balancing_1025,367.7251,0.0,1.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,1.0,367.7251,797.0,0.539,3.97,1.0,0.101,9.57,0.0,1.0,1.0,0.226
test1542218.run0029.load_balancing_1026.log,load_balancing_1026,410.953,0.0,1.0,0.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,410.953,853.0,0.518,4.55,1.0,0.101,9.56,0.0,1.0,1.0,0.21100000000000002
test1542218.run0030.load_balancing_1027.log,load_balancing_1027,367.2441,0.0,1.0,0.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,367.2441,823.0,0.5539999999999999,4.27,1.0,0.1,9.44,0.0,1.0,1.0,0.221
test1542218.run0031.load_balancing_1028.log,load_balancing_1028,386.5281,0.0,1.0,0.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,386.5281,850.0,0.545,4.43,1.0,0.102,9.86,0.0,1.0,1.0,0.215
test1542218.run0032.load_balancing_1029.log,load_balancing_1029,361.719,0.0,1.0,0.0,579.0,0.0,0.0,0.0,0.0,0.0,3.0,361.719,831.0,0.565,4.05,1.0,0.1,9.33,0.0,1.0,1.0,0.217
test1542218.run0044.load_balancing_103.log,load_balancing_103,367.4573,0.0,1.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,1.0,367.4573,817.0,0.55,4.36,1.0,0.1,8.27,0.0,1.0,1.0,0.212
test1542218.run0034.load_balancing_1030.log,load_balancing_1030,333.905,0.0,1.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,1.0,333.905,794.0,0.579,3.86,1.0,0.1,9.54,0.0,1.0,1.0,0.223
test1542218.run0035.load_balancing_1031.log,load_balancing_1031,370.5001,0.0,1.0,0.0,563.0,0.0,0.0,0.0,0.0,0.0,1.0,370.5001,826.0,0.551,4.28,1.0,0.1,8.14,0.0,1.0,1.0,0.21100000000000002
test1542218.run0036.load_balancing_1032.log,load_balancing_1032,404.2124,0.0,1.0,0.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,404.2124,848.0,0.523,4.55,1.0,0.1,9.58,0.0,1.0,1.0,0.214
test1542218.run0037.load_balancing_1033.log,load_balancing_1033,367.6496,0.0,1.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,1.0,367.6496,818.0,0.551,4.13,1.0,0.1,9.62,0.0,1.0,1.0,0.223
