Log Name,File Name,c_i,Nodes,Active,LPit/n,IntInf,GlbFix,GlbRed,#Cuts,#MCP,#Sepa,#Conf,BestBound,BestSolution,Gap,Time,pres_max_A,pres_min_A,pres_max_rhs,pres_min_rhs,pres_max_obj,pres_min_obj,obj_density
test1542205.run0000.test_1600r_1600c_0.01d_instance_148.log,test_1600r_1600c_0.01d_instance_148,23964.12,0.0,1.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,23964.12,80618.0,0.703,0.42,1.0,1.0,1.0,1.0,997.0,1.0,1.0
test1542205.run0001.test_1600r_1600c_0.01d_instance_284.log,test_1600r_1600c_0.01d_instance_284,25141.46,0.0,1.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,25141.46,82676.0,0.696,0.68,1.0,1.0,1.0,1.0,997.0,2.0,1.0
test1542205.run0002.test_1600r_1600c_0.01d_instance_314.log,test_1600r_1600c_0.01d_instance_314,26506.48,0.0,1.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,26506.48,85662.0,0.691,0.5,1.0,1.0,1.0,1.0,1000.0,1.0,1.0
test1542205.run0003.test_1600r_1600c_0.01d_instance_332.log,test_1600r_1600c_0.01d_instance_332,24797.43,0.0,1.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,24797.43,94914.0,0.7390000000000001,0.48,1.0,1.0,1.0,1.0,1000.0,1.0,1.0
test1542205.run0004.test_1600r_1600c_0.01d_instance_333.log,test_1600r_1600c_0.01d_instance_333,25572.63,0.0,1.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,25572.63,89646.0,0.715,0.7,1.0,1.0,1.0,1.0,1000.0,2.0,1.0
test1542205.run0005.test_1600r_1600c_0.01d_instance_363.log,test_1600r_1600c_0.01d_instance_363,22751.24,0.0,1.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,22751.24,86277.0,0.736,0.54,1.0,1.0,1.0,1.0,993.0,1.0,1.0
test1542205.run0006.test_1600r_1600c_0.01d_instance_458.log,test_1600r_1600c_0.01d_instance_458,23906.15,0.0,1.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,23906.15,81189.0,0.706,0.43,1.0,1.0,1.0,1.0,994.0,1.0,1.0
test1542205.run0007.test_1600r_1600c_0.05d_instance_141.log,test_1600r_1600c_0.05d_instance_141,2175.547,0.0,1.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,2175.547,28771.0,0.924,0.62,1.0,1.0,1.0,1.0,405.0,1.0,1.0
test1542205.run0008.test_1600r_1600c_0.05d_instance_172.log,test_1600r_1600c_0.05d_instance_172,2021.218,0.0,1.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.218,27683.0,0.927,0.49,1.0,1.0,1.0,1.0,361.0,1.0,1.0
test1542205.run0009.test_1600r_1600c_0.05d_instance_22.log,test_1600r_1600c_0.05d_instance_22,1642.977,0.0,1.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.977,26877.0,0.9390000000000001,0.53,1.0,1.0,1.0,1.0,327.0,1.0,1.0
test1542205.run0010.test_1600r_1600c_0.05d_instance_254.log,test_1600r_1600c_0.05d_instance_254,1712.988,0.0,1.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.988,24955.0,0.9309999999999999,0.56,1.0,1.0,1.0,1.0,353.0,1.0,1.0
