Log Name,File Name,c_i,Nodes,Active,LPit/n,IntInf,GlbFix,GlbRed,#Cuts,#MCP,#Sepa,#Conf,BestBound,BestSolution,Gap,Time,pres_max_A,pres_min_A,pres_max_rhs,pres_min_rhs,pres_max_obj,pres_min_obj,obj_density
test1379017.run0000.c101.100.10.log,c101.100.10,820.6072,0.0,1.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,3.0,820.6072,1e+30,inf,2.95,154.0,1.0,1030.0,0.0,87.3,1.0,0.905
test1379017.run0001.c101.100.15.log,c101.100.15,933.2961,0.0,1.0,0.0,409.0,0.0,0.0,0.0,0.0,0.0,5.0,933.2961,1e+30,inf,1.84,154.0,1.0,1030.0,0.0,96.2,1.0,0.966
test1379017.run0002.c101.100.20.log,c101.100.20,1074.618,0.0,1.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,4.0,1074.618,1e+30,inf,2.57,154.0,1.0,1030.0,0.0,96.2,1.0,0.966
test1379017.run0003.c101.100.25.log,c101.100.25,1229.327,0.0,1.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,6.0,1229.327,1e+30,inf,7.35,200.0,1.0,200.0,0.0,127.0,0.189,0.995
test1379017.run0004.c101.25.3.log,c101.25.3,191.8136,0.0,1.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,9.0,191.8136,367.736,0.47840000000000005,0.2,98.0,1.0,811.0,0.0,51.0,2.0,0.9109999999999999
test1379017.run0005.c101.25.5.log,c101.25.5,232.1772,0.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,232.1772,313.1406,0.2586,0.36,104.0,1.0,811.0,0.0,51.0,1.0,0.935
test1379017.run0006.c101.30.10.log,c101.30.10,382.8571,0.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,4.0,382.8571,580.7931,0.3408,0.48,113.0,1.0,811.0,0.0,51.0,1.0,0.937
test1379017.run0007.c101.30.15.log,c101.30.15,539.6898,0.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,539.6898,891.4447,0.3946,0.86,113.0,1.0,811.0,0.0,51.0,1.0,0.9359999999999999
test1379017.run0008.c101.30.20.log,c101.30.20,715.2317,0.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,715.2317,929.644,0.2306,1.08,113.0,1.0,811.0,0.0,51.0,1.0,0.935
test1379017.run0009.c101.30.25.log,c101.30.25,951.7413,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,4.0,951.7413,1080.29,0.11900000000000001,1.8,113.0,1.0,811.0,0.0,51.0,1.0,0.9329999999999999
test1379017.run0010.c101.30.3.log,c101.30.3,206.1765,0.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,5.0,206.1765,1e+30,inf,0.24,200.0,1.0,811.0,0.0,103.0,2.0,0.8109999999999999
test1379017.run0011.c101.30.5.log,c101.30.5,246.5401,0.0,1.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,5.0,246.5401,1e+30,inf,0.35,113.0,1.0,811.0,0.0,51.0,1.0,0.937
test1379017.run0012.c101.40.3.log,c101.40.3,1e+30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1e+30,1e+30,0.0,0.32,129.0,1.0,845.0,0.0,71.7,1.0,0.938
test1379017.run0013.c101.40.5.log,c101.40.5,343.4361,0.0,1.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,4.0,343.4361,1e+30,inf,0.42,129.0,1.0,845.0,0.0,71.7,1.0,0.909
