File Name,default,TreeCutLevel-1,RootCutLevel-1,StrongBranching-1
test_1200_2_instance_197,0.0,0.0,0.0,0.0
test_1200_2_instance_21,0.01,0.01,0.01,0.01
test_1200_4_instance_132,30.53,25.99,30.37,26.26
test_1200_4_instance_229,18.25,21.3,19.7,19.26
test_1200_4_instance_296,49.87,37.43,35.69,50.7
test_1200_4_instance_47,78.67,104.61,111.91,81.08
test_1200_4_instance_509,36.56,37.19,39.35,35.55
test_1200_4_instance_523,19.47,16.75,24.74,19.87
test_1200_4_instance_587,1.79,2.05,1.91,1.77
test_1200_4_instance_592,7.71,5.75,5.43,7.31
test_1200_4_instance_693,32.91,33.77,33.77,29.49
test_1200_4_instance_701,0.86,1.36,1.05,0.84
test_1200_4_instance_78,27.71,30.17,23.07,24.25
test_1200_4_instance_848,11.51,11.84,12.07,11.77
test_1200_4_instance_882,5.24,7.6,4.46,5.28
test_150_16_instance_195,2.6,1.63,1.88,2.58
test_150_16_instance_255,1.05,0.89,1.11,1.15
test_150_16_instance_279,1.09,1.01,1.03,1.08
test_150_16_instance_29,1.14,1.17,1.02,1.18
test_150_16_instance_296,1.08,0.99,1.23,1.06
test_150_16_instance_30,0.71,0.66,0.93,0.72
test_150_16_instance_372,1.18,0.92,1.13,1.05
test_150_16_instance_373,1.02,0.9,1.12,1.1
test_150_16_instance_404,0.95,0.92,0.96,0.94
test_150_16_instance_407,1.77,1.09,1.21,1.73
test_150_16_instance_438,2.13,1.57,1.62,2.11
test_150_16_instance_462,1.64,1.48,1.63,1.83
test_150_16_instance_479,1.04,0.85,0.98,0.99
test_150_16_instance_486,0.92,1.1,1.19,0.81
test_150_16_instance_507,1.12,0.92,1.01,1.41
test_150_16_instance_509,1.0,0.93,1.15,1.14
test_150_16_instance_522,1.13,1.23,1.17,1.26
test_150_16_instance_591,1.88,1.53,1.48,1.84
test_150_16_instance_614,1.77,2.02,1.66,1.79
test_150_16_instance_621,1.2,0.94,1.27,1.22
test_150_16_instance_668,2.05,1.53,1.6,2.03
test_150_16_instance_676,1.02,0.89,0.8,0.89
test_150_16_instance_757,0.92,0.77,0.95,1.01
test_150_16_instance_770,1.22,1.17,1.05,1.22
test_150_16_instance_812,1.55,1.34,1.77,1.56
test_150_16_instance_815,1.0,0.98,0.93,1.14
test_150_16_instance_819,1.06,1.14,1.17,1.06
test_150_16_instance_828,1.43,1.17,1.51,1.52
test_150_16_instance_867,1.99,1.64,1.83,1.96
test_150_16_instance_881,3.52,2.38,4.08,4.12
test_150_16_instance_974,2.6,2.34,2.15,2.47
test_150_32_instance_102,0.16,0.16,0.16,0.11
