File Name,default,SubMipHeurLevel-1,StrongBranching-0,StrongBranching-1
load_balancing_0,2900.16,3313.12,2639.75,3225.27
load_balancing_1,1941.98,1966.42,1710.12,2240.45
load_balancing_10,639.73,484.56,632.94,605.69
load_balancing_100,2084.58,1957.68,2177.09,2122.96
load_balancing_1000,363.55,353.42,356.86,334.13
load_balancing_1001,1247.41,3600.02,1108.04,3600.02
load_balancing_1002,713.25,672.57,652.15,730.26
load_balancing_1003,3600.03,3248.05,3121.98,3110.09
load_balancing_1004,1786.66,1814.11,1536.7,1769.75
load_balancing_1005,187.43,144.91,313.91,190.37
load_balancing_1006,2495.44,2435.9,2481.68,2275.9
load_balancing_1007,3292.91,2816.08,2579.23,3379.39
load_balancing_1008,420.31,424.81,439.32,407.73
load_balancing_1009,2423.3,2262.44,2161.81,2166.04
load_balancing_101,1051.45,1063.08,1007.71,766.71
load_balancing_1010,2881.17,3600.03,3118.56,2880.02
load_balancing_1011,3600.03,2884.85,3600.02,3600.02
load_balancing_1012,1292.93,1287.2,3600.02,3600.02
load_balancing_1013,803.86,830.83,832.08,697.6
load_balancing_1015,440.38,257.68,360.83,452.84
load_balancing_1016,1095.99,966.78,740.08,953.27
load_balancing_1017,246.27,333.64,489.63,237.08
load_balancing_1018,271.29,247.5,336.38,253.02
load_balancing_102,386.39,371.95,485.58,359.09
load_balancing_1021,1027.03,1382.31,1465.01,940.8
load_balancing_1022,3600.04,3600.02,3206.65,2968.61
load_balancing_1023,977.5,1029.94,925.75,862.33
load_balancing_1024,1114.3,1290.45,1155.85,982.18
load_balancing_1026,3253.98,3470.3,3600.02,3600.02
load_balancing_1029,3600.02,640.06,3600.05,675.06
load_balancing_103,352.35,344.42,482.67,330.96
load_balancing_1031,3600.04,3600.05,3600.04,3600.06
load_balancing_1032,3284.31,2440.69,3186.56,3543.24
load_balancing_1033,814.88,851.02,647.43,728.48
load_balancing_1034,1224.14,1081.82,1116.64,1131.12
load_balancing_1035,832.44,786.69,731.49,735.54
load_balancing_1037,2623.73,2337.47,2717.18,2288.38
load_balancing_1038,678.71,632.98,741.98,595.2
load_balancing_1039,1072.54,982.19,970.35,993.92
load_balancing_104,3600.02,3600.02,3293.84,3600.05
load_balancing_1042,2642.59,2442.88,969.08,1710.42
load_balancing_1043,394.86,260.39,370.66,387.63
load_balancing_1044,1606.27,3446.69,1021.35,1150.9
load_balancing_1045,307.15,446.91,411.34,305.41
load_balancing_1047,976.13,960.62,846.84,1030.51
load_balancing_1049,3509.89,3469.91,3247.23,3579.6
load_balancing_1050,893.04,901.19,917.95,1062.75
load_balancing_1051,1062.48,1042.73,1037.58,1043.22
load_balancing_1053,1071.73,1415.94,2001.19,905.04
load_balancing_1054,645.43,572.34,647.02,695.08
load_balancing_1055,956.11,1044.36,981.91,1005.47
load_balancing_1057,3600.04,3600.03,3507.58,3600.02
load_balancing_1058,834.94,652.29,645.4,800.46
load_balancing_1059,3600.01,3600.03,3600.04,3600.03
load_balancing_106,3600.02,3600.05,3600.05,3600.02
load_balancing_1060,3600.02,3600.02,3390.69,3600.04
load_balancing_1061,917.44,888.48,1468.31,986.14
load_balancing_1062,218.82,373.71,389.75,213.54
load_balancing_1063,1281.96,1091.75,1076.13,1986.82
load_balancing_1064,3600.04,3600.04,3600.02,3600.03
load_balancing_1066,3436.31,2849.37,2396.97,2223.6
load_balancing_1067,225.26,234.15,242.23,226.27
load_balancing_1069,2495.54,2259.59,2410.59,1986.75
load_balancing_107,2717.77,1741.1,1438.13,2645.92
load_balancing_1070,3600.02,835.73,3539.74,844.58
load_balancing_1071,220.61,244.97,270.19,361.34
load_balancing_1072,543.36,552.68,504.83,546.7
load_balancing_1073,230.35,224.0,322.89,446.15
load_balancing_1074,2291.72,2639.31,2014.9,2240.89
load_balancing_1075,3351.4,3600.03,3600.03,3600.03
load_balancing_1076,2731.4,2371.46,2263.93,2719.45
load_balancing_1077,3600.03,3600.04,3600.05,3600.03
load_balancing_1078,826.52,618.54,681.95,758.85
load_balancing_108,886.28,1005.33,922.69,849.77
load_balancing_1080,3600.03,3195.78,3244.25,3030.22
load_balancing_1081,850.01,815.22,3600.02,3600.03
load_balancing_1082,454.88,571.33,621.06,520.12
load_balancing_1084,1293.18,1285.47,1098.89,1381.18
load_balancing_1085,1525.43,1557.5,2716.28,2507.83
load_balancing_1086,559.93,527.25,512.24,510.67
load_balancing_1088,839.47,952.19,718.44,911.48
load_balancing_1089,3600.02,3600.02,413.26,3600.02
load_balancing_109,1303.34,1102.76,836.14,959.23
load_balancing_1090,683.21,624.57,576.87,674.87
load_balancing_1091,3460.33,2801.66,2023.75,2758.84
load_balancing_1093,2968.96,3231.3,2989.04,3089.92
load_balancing_1094,3600.02,3403.55,3162.8,3600.03
