File Name,default,TreeCutLevel-1,RootCutLevel-1,TreeCutLevel-0
test_1082.proto,2.69,2.41,2.69,2.79
test_1087.proto,2.46,2.85,2.09,2.57
test_1112.proto,6.33,2.0,1.83,6.01
test_1116.proto,2.65,6.93,2.6,2.6
test_1144.proto,1.86,1.55,1.55,1.89
test_120.proto,7.72,4.18,20.99,7.76
test_1231.proto,4.24,5.16,4.33,3.92
test_1274.proto,82.45,180.01,180.01,180.01
test_1303.proto,18.33,14.53,14.94,15.46
test_1352.proto,1.02,0.94,4.36,1.06
test_1364.proto,34.33,180.02,16.11,166.79
test_1395.proto,12.16,9.1,6.35,8.46
test_140.proto,16.76,14.99,11.28,14.05
test_1447.proto,4.3,6.23,7.02,4.1
test_1640.proto,2.87,3.12,2.4,2.95
test_1666.proto,2.41,2.46,2.07,2.39
test_1730.proto,2.37,4.57,4.48,2.39
test_1731.proto,20.64,8.59,14.94,27.8
test_1811.proto,8.57,8.34,10.86,9.53
test_1815.proto,5.15,3.81,4.69,5.57
test_1822.proto,32.95,58.23,27.25,20.74
test_1936.proto,7.14,10.24,5.36,8.51
test_1947.proto,2.26,1.77,1.9,2.3
test_1971.proto,2.21,2.25,2.17,2.21
test_1973.proto,2.97,7.41,3.06,3.03
test_2085.proto,1.94,1.62,1.35,2.06
test_2116.proto,1.85,1.5,1.58,1.81
test_2117.proto,3.37,10.02,3.11,3.43
test_2118.proto,77.61,77.33,26.7,180.08
test_2134.proto,9.91,11.18,8.05,10.86
test_2247.proto,2.34,2.06,2.28,2.41
test_2264.proto,5.57,4.4,4.81,5.37
test_2279.proto,2.7,3.0,2.15,2.72
test_232.proto,3.35,4.08,3.29,3.28
test_2329.proto,5.48,4.78,2.4,7.69
test_233.proto,3.15,2.91,3.05,3.24
test_2339.proto,14.21,6.82,6.41,11.35
test_2369.proto,180.03,110.44,180.01,180.04
test_2380.proto,6.78,8.81,6.78,7.18
test_2384.proto,2.07,2.92,2.61,2.02
test_2489.proto,1.62,1.91,1.49,1.66
test_2589.proto,3.64,3.77,3.3,3.5
test_2622.proto,5.4,4.41,4.09,7.15
test_2686.proto,7.09,6.49,6.54,7.19
test_2741.proto,5.58,6.13,4.98,4.86
test_2766.proto,6.83,5.08,10.99,9.29
test_2780.proto,1.64,1.37,1.54,1.66
test_2843.proto,1.37,1.5,1.13,1.34
test_2894.proto,11.27,6.97,29.1,10.78
test_2897.proto,3.45,1.79,3.15,4.21
test_2930.proto,118.72,50.49,71.57,21.4
test_2995.proto,29.64,30.85,21.17,180.02
test_3094.proto,4.39,5.01,5.52,4.33
test_3239.proto,4.33,4.25,3.52,4.33
test_3260.proto,180.02,180.01,14.91,51.85
test_3367.proto,12.36,4.24,4.77,12.37
test_3392.proto,8.0,7.71,5.24,4.67
test_3415.proto,3.8,3.43,2.23,3.78
test_3468.proto,3.99,3.4,3.97,3.76
test_3474.proto,180.02,102.83,40.89,30.68
test_3484.proto,4.99,5.24,4.07,5.07
test_3488.proto,5.97,18.75,5.98,7.15
test_3532.proto,7.89,3.55,4.65,4.91
test_3534.proto,17.04,21.76,11.18,12.11
test_3552.proto,1.98,1.5,1.75,2.01
