File Name,default,TreeCutLevel1,RootCutLevel1,RoundingHeurLevel1,StrongBranching1,SubmipHeurLevel1,DivingHeurLevel1
c101.100.10,11.79,12.77,9.12,12.0,12.06,13.37,11.88
c101.100.15,38.19,37.41,23.36,38.83,39.09,27.06,39.72
c101.100.20,40.49,44.86,31.96,40.55,41.13,45.26,40.23
c101.100.25,82.08,72.24,58.1,86.29,84.04,83.57,84.4
c101.25.3,0.3,0.34,0.28,0.28,0.28,0.31,0.26
c101.25.5,0.64,0.62,0.5,0.63,0.63,0.61,0.63
c101.30.10,1.14,1.17,0.93,1.17,1.12,1.09,1.18
c101.30.15,0.9,1.01,0.94,0.98,0.92,1.61,0.94
c101.30.20,1.18,1.14,1.2,1.16,1.15,1.33,1.16
c101.30.25,1.88,1.94,1.87,1.9,1.9,1.99,1.9
c101.30.3,0.24,0.25,0.24,0.22,0.23,0.27,0.24
c101.30.5,1.1,0.98,0.95,1.09,1.08,0.72,1.08
c101.40.3,0.39,0.41,0.41,0.42,0.37,0.41,0.39
c101.40.5,1.32,1.3,1.13,1.33,1.34,0.97,1.37
c101.50.10,2.43,2.49,1.75,2.42,2.34,2.64,2.41
c101.50.15,1.39,1.41,1.42,1.32,1.45,3.42,1.38
c101.50.20,2.82,2.82,2.76,2.8,3.03,5.1,2.98
c101.50.25,3.63,3.8,3.86,3.91,4.02,5.31,3.93
c101.75.10,10.94,10.68,7.89,11.13,11.16,6.86,11.03
c101.75.15,16.02,15.47,7.54,16.69,16.01,12.24,16.31
c101.75.20,16.45,17.42,12.59,16.57,16.65,10.98,16.58
c101.75.25,20.02,20.2,19.76,20.37,19.84,19.39,19.72
c102.100.10,300.08,300.04,300.03,300.05,300.08,300.04,300.12
c102.100.15,300.08,300.06,300.04,300.05,300.13,300.05,300.04
c102.100.20,300.11,300.09,300.05,300.08,300.07,300.07,300.11
c102.100.25,300.08,300.09,300.09,300.09,300.04,300.16,300.15
c102.25.3,2.95,1.91,3.02,2.96,3.0,2.97,3.01
c102.25.5,3.82,2.55,20.16,3.81,3.8,3.32,4.22
c102.30.10,6.15,6.54,4.01,6.13,6.1,4.42,6.19
c102.30.15,4.72,6.46,4.29,4.73,4.69,5.32,4.82
c102.30.20,5.01,6.37,6.76,5.21,5.14,6.45,5.15
c102.30.25,3.93,4.05,3.88,4.12,3.98,3.88,4.0
