Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_Symmetries
test1542205.run0000.test_1600r_1600c_0.01d_instance_148.log,test_1600r_1600c_0.01d_instance_148,0.0,1.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.703,0.42,1.0,7.3777589082278725,7.202661196523238,1.0,6.904750769961838,0.0,0.0,0.0,0.7027447964474436,0.7027447964474436,-inf,7.377758908227872,7.234898420314831,0.0102649603460706,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0001.test_1600r_1600c_0.01d_instance_284.log,test_1600r_1600c_0.01d_instance_284,0.0,1.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,0.68,1.0,7.3777589082278725,7.0825485693553,1.0,6.211603589401893,0.0,0.0,0.0,0.6959037689293145,0.6959037689293145,-inf,7.377758908227872,7.187657164114956,0.0103930461073318,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0002.test_1600r_1600c_0.01d_instance_314.log,test_1600r_1600c_0.01d_instance_314,0.0,1.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691,0.5,1.0,7.3777589082278725,7.166265974133638,1.0,6.907755278982137,0.0,0.0,0.0,0.6905689804113844,0.6905689804113844,-inf,7.377758908227872,7.226936018493289,0.0102684411337209,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0003.test_1600r_1600c_0.01d_instance_332.log,test_1600r_1600c_0.01d_instance_332,0.0,1.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7390000000000001,0.48,1.0,7.3777589082278725,7.171656822768514,1.0,6.907755278982137,0.0,0.0,0.0,0.738737910108098,0.738737910108098,-inf,7.377758908227872,7.226209010100671,0.0103272727272727,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0004.test_1600r_1600c_0.01d_instance_333.log,test_1600r_1600c_0.01d_instance_333,0.0,1.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715,0.7,1.0,7.3777589082278725,7.142036574706802,1.0,6.214608098422191,0.0,0.0,0.0,0.7147376346964728,0.7147376346964728,-inf,7.377758908227872,7.264730177929867,0.0102497375787263,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0005.test_1600r_1600c_0.01d_instance_363.log,test_1600r_1600c_0.01d_instance_363,0.0,1.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.54,1.0,7.3777589082278725,7.047517221357295,1.0,6.900730664045172,0.0,0.0,0.0,0.7363000567938152,0.7363000567938152,-inf,7.377758908227872,7.190676034332207,0.0103433496608892,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0006.test_1600r_1600c_0.01d_instance_458.log,test_1600r_1600c_0.01d_instance_458,0.0,1.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.706,0.43,1.0,7.3777589082278725,7.1308988302963465,1.0,6.901737206656573,0.0,0.0,0.0,0.7055493970858121,0.7055493970858121,-inf,7.377758908227872,7.271703706887368,0.0102414871438498,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0007.test_1600r_1600c_0.05d_instance_141.log,test_1600r_1600c_0.05d_instance_141,0.0,1.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,0.62,1.0,7.3777589082278725,6.049733455231958,1.0,6.003887067106539,0.0,0.0,0.0,0.9243840325327587,0.9243840325327587,-inf,7.377758908227872,7.366445148327599,0.0500817793931731,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0008.test_1600r_1600c_0.05d_instance_172.log,test_1600r_1600c_0.05d_instance_172,0.0,1.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.49,1.0,7.3777589082278725,5.746203190540153,1.0,5.8888779583328805,0.0,0.0,0.0,0.926987031752339,0.926987031752339,-inf,7.377758908227872,7.338238150065589,0.0501897756827048,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0009.test_1600r_1600c_0.05d_instance_22.log,test_1600r_1600c_0.05d_instance_22,0.0,1.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939,0.53,1.0,7.3777589082278725,5.799092654460526,1.0,5.7899601708972535,0.0,0.0,0.0,0.9388705212635339,0.9388705212635339,-inf,7.377758908227872,7.284134806195205,0.0503864962251201,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0010.test_1600r_1600c_0.05d_instance_254.log,test_1600r_1600c_0.05d_instance_254,0.0,1.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931,0.56,1.0,7.3777589082278725,5.828945617610207,1.0,5.8664680569332965,0.0,0.0,0.0,0.9313569224604287,0.9313569224604287,-inf,7.377758908227872,7.191429330036379,0.0505897025602409,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0011.test_1600r_1600c_0.05d_instance_290.log,test_1600r_1600c_0.05d_instance_290,0.0,1.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.53,1.0,7.3777589082278725,6.075346031088684,1.0,6.052089168924416,0.0,0.0,0.0,0.9333836346336822,0.9333836346336822,-inf,7.377758908227872,7.371489295214277,0.0500617138364779,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0012.test_1600r_1600c_0.05d_instance_313.log,test_1600r_1600c_0.05d_instance_313,0.0,1.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.51,1.0,7.3777589082278725,5.777652323222656,1.0,6.07993319509559,0.0,0.0,0.0,0.9397044370756357,0.9397044370756357,-inf,7.377758908227872,7.309212365692763,0.0503380187416332,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0013.test_1600r_1600c_0.05d_instance_362.log,test_1600r_1600c_0.05d_instance_362,0.0,1.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942,0.5,1.0,7.3777589082278725,5.783825182329737,1.0,5.090678001769792,0.0,0.0,0.0,0.9422655525502318,0.9422655525502318,-inf,7.377758908227872,7.242797922793756,0.0505552575107296,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0014.test_1600r_1600c_0.05d_instance_366.log,test_1600r_1600c_0.05d_instance_366,0.0,1.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.53,1.0,7.3777589082278725,6.142037405587356,1.0,5.409411414053623,0.0,0.0,0.0,0.9399423871053684,0.9399423871053684,-inf,7.377758908227872,7.340835554123275,0.0502626459143968,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0015.test_1600r_1600c_0.05d_instance_436.log,test_1600r_1600c_0.05d_instance_436,0.0,1.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945,0.62,1.0,7.3777589082278725,6.115892125483033,1.0,6.066108090103747,0.0,0.0,0.0,0.9445499021526419,0.9445499021526419,-inf,7.377758908227872,7.356279876550748,0.0501424808429118,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0016.test_1600r_1600c_0.05d_instance_447.log,test_1600r_1600c_0.05d_instance_447,0.0,1.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.49,1.0,7.3777589082278725,6.230481447578482,1.0,6.182084906716631,0.0,0.0,0.0,0.9280022251441287,0.9280022251441287,-inf,7.377758908227872,7.369600720526409,0.0500618304977945,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0017.test_1600r_1600c_0.05d_instance_473.log,test_1600r_1600c_0.05d_instance_473,0.0,1.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937,0.58,1.0,7.3777589082278725,6.214608098422191,1.0,6.142037405587356,0.0,0.0,0.0,0.9369093717501682,0.9369093717501682,-inf,7.377758908227872,7.349873704738337,0.0501936053984575,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0018.test_1600r_1600c_0.05d_instance_481.log,test_1600r_1600c_0.05d_instance_481,0.0,1.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931,0.49,1.0,7.3777589082278725,6.270988431858299,1.0,5.409411414053623,0.0,0.0,0.0,0.9310163618201233,0.9310163618201233,-inf,7.377758908227872,7.356918242356021,0.0501599393746011,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0019.test_1600r_1600c_0.05d_instance_485.log,test_1600r_1600c_0.05d_instance_485,0.0,1.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932,0.49,1.0,7.3777589082278725,5.805134968916488,1.0,5.056245805348308,0.0,0.0,0.0,0.9320753576988657,0.9320753576988657,-inf,7.377758908227872,7.223295679562314,0.050424416484318,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0020.test_1600r_1600c_0.05d_instance_52.log,test_1600r_1600c_0.05d_instance_52,0.0,1.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.51,1.0,7.3777589082278725,5.916202062607435,1.0,5.409411414053623,0.0,0.0,0.0,0.9332847755917615,0.9332847755917615,-inf,7.377758908227872,7.304515946460155,0.0503244788164088,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
test1542205.run0021.test_1600r_1600c_0.05d_instance_87.log,test_1600r_1600c_0.05d_instance_87,0.0,1.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.52,1.0,7.3777589082278725,5.82600010738045,1.0,5.950642552587727,0.0,0.0,0.0,0.9334232215206044,0.9334232215206044,-inf,7.377758908227872,7.268223021159565,0.0504153591352859,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
