File Name,Rows,Columns,Nonzeros,per_i,per_b,obj_dynamic,has_varlb,has_varub,Equality,GreaterThan,LessThan,RHS_dynamic,Coe_dynamic,PAR,PAC,COV,CAR,EQK,BIN,KNA,IKN,M01,MI,CON
load_balancing_0.mps.gz,11.07176581943734,11.018629143155449,9.314668014247456e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015545088529279175,0.9844549114707208,2.3874279537843957,2.2910649906941276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9327053117567504,0.0,0.06729468824324955
load_balancing_1.mps.gz,11.072278675825483,11.018629143155449,9.37789888239726e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015537118175320842,0.9844628818246791,2.380319908763428,2.2832350832510855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322270905192505,0.0,0.06777290948074952
load_balancing_10.mps.gz,11.07106604566896,11.018629143155449,9.156550185600578e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015555970381432393,0.9844440296185676,2.3277380873973237,2.225133691651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333582228859436,0.0,0.06664177711405637
load_balancing_100.mps.gz,11.070910473864481,11.018629143155449,9.133387439124608e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015558390640072191,0.9844416093599279,2.321660985694362,2.2183977247355173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9335034384043315,0.0,0.06649656159566854
load_balancing_1000.mps.gz,11.07003882421243,11.018629143155449,8.979761049580604e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015571958018001184,0.9844280419819988,2.3631767730914377,2.264327515876311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934317481080071,0.0,0.06568251891992899
load_balancing_1001.mps.gz,11.072946548830188,11.018629143155449,9.480426756399373e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015526744817948917,0.9844732551820511,2.320785456959471,2.2174269068758896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931604689076935,0.0,0.06839531092306497
load_balancing_1002.mps.gz,11.07106604566896,11.018629143155449,9.16078344967159e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015555970381432393,0.9844440296185676,2.354006079228645,2.2541991471173906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333582228859436,0.0,0.06664177711405637
load_balancing_1003.mps.gz,11.072045591890905,11.018629143155449,9.353538333528229e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015540740050041184,0.9844592599499589,2.2193284762431458,2.1042743883393897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932444403002471,0.0,0.06755559699752903
load_balancing_1004.mps.gz,11.070412481386326,11.018629143155449,9.080418764905856e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015566140531116716,0.9844338594688833,2.2949117278857396,2.1886949701104577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9339684318670028,0.0,0.0660315681329971
load_balancing_1005.mps.gz,11.070178962014833,11.018629143155449,9.008876558987628e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015569775950924066,0.984430224049076,2.354832132422168,2.2551118612882695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934186557055444,0.0,0.06581344294455603
load_balancing_1006.mps.gz,11.072232063384615,11.018629143155449,9.376603931991119e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015537842415202225,0.9844621575847978,2.2715184845838925,2.162645784890516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322705449121335,0.0,0.0677294550878665
load_balancing_1007.mps.gz,11.070645946239251,11.018629143155449,9.08192180120964e-05,0.0,0.01639344262295082,0.6931471805599453,1.0,1.0,0.0,0.015562506808596728,0.9844374931914033,2.367984181237503,2.2696330903539526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9337504085158037,0.0,0.06624959148419628
