Log Name,File Name,c_i,c_d,c_p
test1542218.run0000.load_balancing_0.log,load_balancing_0,433.7525,754.3823,761.0
test1542218.run1111.load_balancing_1.log,load_balancing_1,387.6339,738.6654,741.0
test1542218.run0111.load_balancing_10.log,load_balancing_10,419.4203,770.2348,773.0
test1542218.run0011.load_balancing_100.log,load_balancing_100,376.1771,696.6462,699.0
test1542218.run0001.load_balancing_1000.log,load_balancing_1000,348.0782,675.3426,678.0
test1542218.run0002.load_balancing_1001.log,load_balancing_1001,374.9374,716.7363,719.0
test1542218.run0003.load_balancing_1002.log,load_balancing_1002,393.7308,729.1684,731.0
test1542218.run0004.load_balancing_1003.log,load_balancing_1003,315.4417,648.4592,651.0
test1542218.run0005.load_balancing_1004.log,load_balancing_1004,371.3344,730.6476,733.0
test1542218.run0006.load_balancing_1005.log,load_balancing_1005,475.2451,821.6414,826.0
test1542218.run0007.load_balancing_1006.log,load_balancing_1006,301.127,605.353,608.0
test1542218.run0008.load_balancing_1007.log,load_balancing_1007,408.2116,759.4101,762.0
test1542218.run0009.load_balancing_1008.log,load_balancing_1008,407.7474,765.0144,767.0
test1542218.run0010.load_balancing_1009.log,load_balancing_1009,340.2517,633.3313,638.0
test1542218.run0022.load_balancing_101.log,load_balancing_101,363.8028,671.743,674.0
test1542218.run0012.load_balancing_1010.log,load_balancing_1010,392.4731,692.8579,696.0
test1542218.run0013.load_balancing_1011.log,load_balancing_1011,376.2093,687.3369,690.0
test1542218.run0014.load_balancing_1012.log,load_balancing_1012,406.0153,707.5487,714.0
test1542218.run0015.load_balancing_1013.log,load_balancing_1013,418.8089,702.7438,705.0
test1542218.run0016.load_balancing_1014.log,load_balancing_1014,380.3477,701.1481,709.0
test1542218.run0017.load_balancing_1015.log,load_balancing_1015,412.4825,727.4393,730.0
test1542218.run0018.load_balancing_1016.log,load_balancing_1016,304.0276,624.782,627.0
test1542218.run0019.load_balancing_1017.log,load_balancing_1017,379.2195,718.7103,725.0
test1542218.run0020.load_balancing_1018.log,load_balancing_1018,434.2389,765.1356,770.0
