Log Name,File Name,c_i,c_d,c_p
test13183991.run000.10teams.log,10teams,-1e+30,-1e+30,1e+30
test13183895.run000.10teams.log,10teams,-1e+30,-1e+30,1e+30
test13184025.run000.10teams.log,10teams,-1e+30,-1e+30,1e+30
test13184010.run000.10teams.log,10teams,-1e+30,-1e+30,1e+30
test13183974.run000.10teams.log,10teams,-1e+30,-1e+30,1e+30
test13183974.run001.22433.log,22433,-1e+30,-1e+30,1e+30
test13183895.run001.22433.log,22433,-1e+30,-1e+30,1e+30
test13184010.run001.22433.log,22433,-1e+30,-1e+30,1e+30
test13183991.run001.22433.log,22433,-1e+30,-1e+30,1e+30
test13184025.run001.22433.log,22433,-1e+30,-1e+30,1e+30
test13183974.run002.23588.log,23588,-1e+30,-1e+30,1e+30
test13183895.run002.23588.log,23588,-1e+30,-1e+30,1e+30
test13184010.run002.23588.log,23588,-1e+30,-1e+30,1e+30
test13184025.run002.23588.log,23588,-1e+30,-1e+30,1e+30
test13183991.run002.23588.log,23588,-1e+30,-1e+30,1e+30
test13183991.run003.2club200v15p5scn.log,2club200v15p5scn,-1e+30,-1e+30,1e+30
test13184010.run003.2club200v15p5scn.log,2club200v15p5scn,-1e+30,-1e+30,1e+30
test13184025.run003.2club200v15p5scn.log,2club200v15p5scn,-1e+30,-1e+30,1e+30
test13183895.run003.2club200v15p5scn.log,2club200v15p5scn,-1e+30,-1e+30,1e+30
test13183974.run003.2club200v15p5scn.log,2club200v15p5scn,-1e+30,-1e+30,1e+30
test13184010.run004.30_70_45_05_100.log,30_70_45_05_100,-1e+30,-1e+30,1e+30
test13183974.run004.30_70_45_05_100.log,30_70_45_05_100,-1e+30,-1e+30,1e+30
test13183991.run004.30_70_45_05_100.log,30_70_45_05_100,-1e+30,-1e+30,1e+30
test13184025.run004.30_70_45_05_100.log,30_70_45_05_100,-1e+30,-1e+30,1e+30
test13183895.run004.30_70_45_05_100.log,30_70_45_05_100,-1e+30,-1e+30,1e+30
test13183974.run005.30_70_45_095_100.log,30_70_45_095_100,-1e+30,-1e+30,1e+30
test13183991.run005.30_70_45_095_100.log,30_70_45_095_100,-1e+30,-1e+30,1e+30
test13184025.run005.30_70_45_095_100.log,30_70_45_095_100,-1e+30,-1e+30,1e+30
test13183895.run005.30_70_45_095_100.log,30_70_45_095_100,-1e+30,-1e+30,1e+30
test13184010.run005.30_70_45_095_100.log,30_70_45_095_100,-1e+30,-1e+30,1e+30
test13183895.run006.30_70_45_095_98.log,30_70_45_095_98,-1e+30,-1e+30,1e+30
test13183991.run006.30_70_45_095_98.log,30_70_45_095_98,-1e+30,-1e+30,1e+30
test13184025.run006.30_70_45_095_98.log,30_70_45_095_98,-1e+30,-1e+30,1e+30
test13184010.run006.30_70_45_095_98.log,30_70_45_095_98,-1e+30,-1e+30,1e+30
test13183974.run006.30_70_45_095_98.log,30_70_45_095_98,-1e+30,-1e+30,1e+30
test13184025.run007.30n20b8.log,30n20b8,-1e+30,-1e+30,1e+30
test13184010.run007.30n20b8.log,30n20b8,-1e+30,-1e+30,1e+30
test13183974.run007.30n20b8.log,30n20b8,-1e+30,-1e+30,1e+30
test13183895.run007.30n20b8.log,30n20b8,-1e+30,-1e+30,1e+30
test13183991.run007.30n20b8.log,30n20b8,-1e+30,-1e+30,1e+30
test13183991.run008.50v-10.log,50v-10,-1e+30,-1e+30,1e+30
test13183974.run008.50v-10.log,50v-10,-1e+30,-1e+30,1e+30
test13184010.run008.50v-10.log,50v-10,-1e+30,-1e+30,1e+30
test13183895.run008.50v-10.log,50v-10,-1e+30,-1e+30,1e+30
test13184025.run008.50v-10.log,50v-10,-1e+30,-1e+30,1e+30
test13183895.run009.8div-n59k10.log,8div-n59k10,-1e+30,-1e+30,1e+30
test13184010.run009.8div-n59k10.log,8div-n59k10,-1e+30,-1e+30,1e+30
test13184025.run009.8div-n59k10.log,8div-n59k10,-1e+30,-1e+30,1e+30
test13183974.run009.8div-n59k10.log,8div-n59k10,-1e+30,-1e+30,1e+30
test13183991.run009.8div-n59k10.log,8div-n59k10,-1e+30,-1e+30,1e+30
test13183974.run010.8div-n59k11.log,8div-n59k11,-1e+30,-1e+30,1e+30
test13183895.run010.8div-n59k11.log,8div-n59k11,-1e+30,-1e+30,1e+30
test13183991.run010.8div-n59k11.log,8div-n59k11,-1e+30,-1e+30,1e+30
test13184025.run010.8div-n59k11.log,8div-n59k11,-1e+30,-1e+30,1e+30
test13184010.run010.8div-n59k11.log,8div-n59k11,-1e+30,-1e+30,1e+30
