Log Name,File Name,c_i,c_d,c_p
test1542192.run0000.test_1082.proto.log,test_1082.proto,-9.94276,-10.98092,-10.98191
test1542192.run0001.test_1087.proto.log,test_1087.proto,-14.96426,-15.52509,-15.52659
test1542192.run0002.test_1112.proto.log,test_1112.proto,20.38856,16.32953,14.20616
test1542192.run0003.test_1116.proto.log,test_1116.proto,6.141646,-14.69257,-14.69307
test1542192.run0004.test_1144.proto.log,test_1144.proto,2.057544,-12.93222,-12.93252
test1542192.run0005.test_120.proto.log,test_120.proto,15.70781,-10.49076,-11.64758
test1542192.run0006.test_1231.proto.log,test_1231.proto,-7.347614,-7.637303,-7.638065
test1542192.run0007.test_1274.proto.log,test_1274.proto,19.39002,1.244705,-7.493432
test1542192.run0008.test_1303.proto.log,test_1303.proto,4.321196,-20.41518,-21.4415
test1542192.run0009.test_1352.proto.log,test_1352.proto,1.719357,-12.25359,-12.25372
test1542192.run0010.test_1364.proto.log,test_1364.proto,30.9223,2.577346,-7.635037
test1542192.run0011.test_1395.proto.log,test_1395.proto,8.556575,-6.09493,-7.331845
test1542192.run0012.test_140.proto.log,test_140.proto,3.358805,-14.20712,-20.88981
test1542192.run0013.test_1447.proto.log,test_1447.proto,6.983002,-15.2318,-15.25361
test1542192.run0014.test_1640.proto.log,test_1640.proto,0.7103098,-1.885927,-1.885927
test1542192.run0015.test_1666.proto.log,test_1666.proto,2.549228,-9.772069,-9.772108
test1542192.run0016.test_1730.proto.log,test_1730.proto,2.295744,-4.832253,-4.832704
test1542192.run0017.test_1731.proto.log,test_1731.proto,7.871044,-33.50905,-33.75106
test1542192.run0018.test_1811.proto.log,test_1811.proto,1.329258,-13.22547,-13.64922
test1542192.run0019.test_1815.proto.log,test_1815.proto,6.81987,-13.7733,-13.91224
test1542192.run0020.test_1822.proto.log,test_1822.proto,22.36114,-5.94852,-7.381077
test1542192.run0021.test_1936.proto.log,test_1936.proto,-13.02349,-17.75817,-17.79757
test1542192.run0022.test_1947.proto.log,test_1947.proto,-3.005071,-12.77874,-12.77899
test1542192.run0023.test_1971.proto.log,test_1971.proto,-11.98422,-12.09274,-12.09371
test1542192.run0024.test_1973.proto.log,test_1973.proto,-6.488304,-6.609591,-6.609649
test1542192.run0025.test_2085.proto.log,test_2085.proto,-24.50197,-24.66203,-24.66217
test1542192.run0026.test_2116.proto.log,test_2116.proto,4.329939,-3.364072,-3.364225
test1542192.run0027.test_2117.proto.log,test_2117.proto,11.20498,-17.52175,-29.23279
