Log Name,File Name,c_i,Nodes,Active,LPit/n,IntInf,GlbFix,GlbRed,#Cuts,#MCP,#Sepa,#Conf,BestBound,BestSolution,Gap,Time,pres_max_A,pres_min_A,pres_max_rhs,pres_min_rhs,pres_max_obj,pres_min_obj,obj_density
test1542192.run0000.test_1082.proto.log,test_1082.proto,-9.94276,0.0,1.0,0.0,72.0,2.0,5.0,0.0,0.0,0.0,0.0,-9.94276,-15.72504,0.368,0.6,463.0,5.28e-09,6.77,0.0,1.0,1.0,0.000765
test1542192.run0001.test_1087.proto.log,test_1087.proto,-14.96426,0.0,1.0,0.0,97.0,2.0,5.0,0.0,0.0,0.0,4.0,-14.96426,-19.04153,0.214,0.69,717.0,7.04e-09,116.0,0.0,1.0,1.0,0.000664
test1542192.run0002.test_1112.proto.log,test_1112.proto,20.38856,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,20.38856,1e+30,inf,0.53,1030.0,7.04e-09,61.4,0.0,1.0,1.0,0.000676
test1542192.run0003.test_1116.proto.log,test_1116.proto,6.141646,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,6.141646,1e+30,inf,0.65,75.8,7.04e-09,59.8,0.0,1.0,1.0,0.0006990000000000001
test1542192.run0004.test_1144.proto.log,test_1144.proto,2.057544,0.0,1.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,5.0,2.057544,1e+30,inf,0.74,2910.0,7.04e-09,18.8,0.0,1.0,1.0,0.000606
test1542192.run0005.test_120.proto.log,test_120.proto,15.70781,0.0,1.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,3.0,15.70781,-16.45404,1.955,0.77,2630.0,7.04e-09,60.6,0.0,1.0,1.0,0.000565
test1542192.run0006.test_1231.proto.log,test_1231.proto,-7.347614,0.0,1.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,4.0,-7.347614,1e+30,inf,0.76,3590.0,7.04e-09,8.6,0.0,1.0,1.0,0.0014299999999999998
test1542192.run0007.test_1274.proto.log,test_1274.proto,19.39002,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,19.39002,1e+30,inf,0.78,71.1,7.04e-09,71.1,0.0,1.0,1.0,0.000755
test1542192.run0008.test_1303.proto.log,test_1303.proto,4.321196,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.321196,1e+30,inf,0.82,1130.0,7.04e-09,49.1,0.0,1.0,1.0,0.000575
test1542192.run0009.test_1352.proto.log,test_1352.proto,1.719357,0.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.719357,1e+30,inf,0.46,43.5,7.04e-09,27.8,0.0,1.0,1.0,0.000548
test1542192.run0010.test_1364.proto.log,test_1364.proto,30.9223,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,30.9223,1e+30,inf,0.91,617.0,7.04e-09,99.4,0.0,1.0,1.0,0.000589
