File Name,RootCutLevel-0,RoundingHeurLevel-0,DivingHeurLevel-0,StrongBranching-0,SubMipHeurLevel-0,RoundingHeurLevel-1,RootCutLevel-1,TreeCutLevel-1,TreeCutLevel-0,StrongBranching-1,SubMipHeurLevel-1,DivingHeurLevel-1,MipLogLevel-2
test_1200_2_instance_197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_2_instance_21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
test_1200_4_instance_132,169.69,31.47,26.96,38.76,32.52,29.74,30.37,25.99,27.65,26.26,36.04,27.5,30.53
test_1200_4_instance_229,77.72,18.18,18.9,18.72,18.02,18.3,19.7,21.3,18.53,19.26,15.22,18.13,18.25
test_1200_4_instance_296,720.0,49.87,46.23,40.94,47.14,50.49,35.69,37.43,42.33,50.7,37.78,44.67,49.87
test_1200_4_instance_47,720.0,78.82,78.07,181.69,79.6,78.8,111.91,104.61,81.97,81.08,80.64,77.66,78.67
test_1200_4_instance_509,363.94,35.64,40.48,59.81,40.4,37.14,39.35,37.19,40.57,35.55,39.85,37.87,36.56
test_1200_4_instance_523,56.5,19.02,17.86,22.45,25.24,19.92,24.74,16.75,18.45,19.87,26.46,17.79,19.47
test_1200_4_instance_587,8.67,2.01,1.72,1.62,1.78,1.73,1.91,2.05,1.87,1.77,1.83,1.65,1.79
test_1200_4_instance_592,18.56,7.31,7.11,6.9,8.06,7.18,5.43,5.75,7.1,7.31,8.33,6.96,7.71
test_1200_4_instance_693,257.05,32.24,30.32,41.01,30.12,32.67,33.77,33.77,30.07,29.49,31.34,29.95,32.91
test_1200_4_instance_701,1.95,0.82,0.96,0.92,0.98,0.83,1.05,1.36,0.86,0.84,1.05,0.85,0.86
test_1200_4_instance_78,138.88,30.92,25.72,51.6,26.63,28.02,23.07,30.17,28.71,24.25,27.16,27.82,27.71
test_1200_4_instance_848,60.77,11.44,11.46,13.12,12.16,12.41,12.07,11.84,11.5,11.77,12.24,11.34,11.51
test_1200_4_instance_882,12.99,5.45,5.86,3.63,4.84,5.02,4.46,7.6,5.72,5.28,5.72,5.26,5.24
test_150_16_instance_195,1.71,2.76,2.42,2.62,2.1,2.56,1.88,1.63,1.55,2.58,2.24,2.58,2.6
test_150_16_instance_255,0.79,1.05,1.09,1.48,0.99,1.16,1.11,0.89,1.11,1.15,1.1,1.04,1.05
test_150_16_instance_279,0.8,1.17,0.97,0.96,1.13,1.18,1.03,1.01,1.03,1.08,1.13,1.0,1.09
test_150_16_instance_29,0.89,1.14,1.12,1.3,0.95,1.18,1.02,1.17,1.17,1.18,0.91,0.97,1.14
test_150_16_instance_296,0.9,1.05,1.04,1.92,1.04,1.1,1.23,0.99,0.99,1.06,1.09,1.15,1.08
test_150_16_instance_30,0.72,0.72,0.66,0.79,0.72,0.74,0.93,0.66,0.67,0.72,0.99,0.67,0.71
test_150_16_instance_372,0.83,0.97,0.91,1.17,0.93,0.98,1.13,0.92,0.83,1.05,1.0,0.83,1.18
test_150_16_instance_373,0.96,1.03,0.97,1.29,0.96,1.0,1.12,0.9,0.92,1.1,1.0,0.9,1.02
test_150_16_instance_404,0.74,0.93,1.08,0.98,0.97,0.94,0.96,0.92,0.96,0.94,1.01,1.12,0.95
test_150_16_instance_407,0.95,1.69,1.5,2.0,2.27,1.8,1.21,1.09,1.34,1.73,1.58,1.33,1.77
test_150_16_instance_438,1.88,2.12,2.23,3.51,2.44,2.04,1.62,1.57,1.69,2.11,2.66,2.7,2.13
test_150_16_instance_462,1.49,1.6,1.57,3.17,1.83,1.65,1.63,1.48,1.28,1.83,1.29,1.53,1.64
test_150_16_instance_479,0.76,0.98,0.96,1.02,1.01,0.97,0.98,0.85,0.86,0.99,0.99,0.94,1.04
test_150_16_instance_486,1.1,0.82,0.94,1.32,0.86,0.84,1.19,1.1,0.81,0.81,0.88,0.87,0.92
test_150_16_instance_507,0.68,1.09,1.11,1.27,1.05,1.1,1.01,0.92,1.04,1.41,1.35,1.1,1.12
test_150_16_instance_509,0.79,0.98,0.89,1.46,1.0,1.0,1.15,0.93,0.81,1.14,1.54,1.01,1.0
test_150_16_instance_522,0.96,1.13,1.25,1.75,1.01,1.1,1.17,1.23,1.05,1.26,1.02,1.21,1.13
test_150_16_instance_591,1.46,1.89,1.4,2.75,1.89,1.82,1.48,1.53,1.27,1.84,1.66,1.45,1.88
test_150_16_instance_614,1.36,1.69,1.93,2.75,1.47,1.79,1.66,2.02,1.49,1.79,1.49,2.41,1.77
test_150_16_instance_621,0.89,1.27,1.21,1.33,1.18,1.23,1.27,0.94,1.01,1.22,1.32,1.24,1.2
test_150_16_instance_668,1.41,2.05,2.51,2.45,1.79,2.02,1.6,1.53,1.48,2.03,2.36,1.52,2.05
test_150_16_instance_676,0.71,0.88,0.85,0.72,0.81,0.9,0.8,0.89,0.76,0.89,0.89,0.83,1.02
