File Name,RoundingHeurLevel-0,RootCutLevel-1,StrongBranching-1,StrongBranching-0,RoundingHeurLevel-1,RootCutLevel-0,TreeCutLevel-0,DivingHeurLevel-1,TreeCutLevel-1,SubMipHeurLevel-1,SubMipHeurLevel-0,MipLogLevel-2,DivingHeurLevel-0
load_balancing_0,3417.83,3600.03,3225.27,2639.75,3463.27,3600.03,3600.03,3169.33,3600.03,3313.12,2678.95,2900.16,3098.32
load_balancing_1,1928.11,2446.5,2240.45,1710.12,1843.92,3600.02,3600.03,1894.83,3600.05,1966.42,1839.04,1941.98,2000.01
load_balancing_10,802.98,576.55,605.69,632.94,657.54,3600.04,648.35,664.55,931.01,484.56,577.88,639.73,665.37
load_balancing_100,3600.02,3040.57,2122.96,2177.09,2263.44,3600.02,2809.08,2309.72,3600.02,1957.68,2113.05,2084.58,2199.35
load_balancing_1000,1069.82,382.82,334.13,356.86,230.48,3600.03,3600.03,715.4,610.77,353.42,344.5,363.55,2571.79
load_balancing_1001,3600.02,1440.95,3600.02,1108.04,1801.39,3600.03,2299.84,1236.21,3600.02,3600.02,1143.85,1247.41,1257.42
load_balancing_1002,2547.47,783.48,730.26,652.15,653.14,3600.05,773.93,719.31,946.56,672.57,621.09,713.25,686.77
load_balancing_1003,3600.03,3125.41,3110.09,3121.98,3066.97,3600.04,3320.71,3277.63,3449.89,3248.05,3253.87,3600.03,3285.93
load_balancing_1004,3600.03,2468.89,1769.75,1536.7,1587.53,3600.05,2898.37,1850.48,2229.14,1814.11,1530.26,1786.66,1879.52
load_balancing_1005,218.59,237.92,190.37,313.91,204.01,3600.02,210.42,189.64,535.72,144.91,153.64,187.43,192.43
load_balancing_1006,2428.61,2139.48,2275.9,2481.68,2108.3,3600.05,3139.24,1684.92,2939.57,2435.9,1590.4,2495.44,1664.66
load_balancing_1007,3600.01,2643.91,3379.39,2579.23,2588.21,3600.05,3600.03,3283.14,3600.03,2816.08,1553.18,3292.91,3192.44
load_balancing_1008,600.16,510.59,407.73,439.32,401.47,3600.05,602.98,393.6,631.88,424.81,447.34,420.31,391.86
load_balancing_1009,1939.11,2523.35,2166.04,2161.81,2276.09,3600.02,2557.11,2168.95,2939.36,2262.44,1756.38,2423.3,2081.06
load_balancing_101,3600.01,1779.98,766.71,1007.71,931.08,3600.02,1072.77,1083.21,2848.26,1063.08,1254.06,1051.45,1091.06
