File Name,MipLogLevel-2,SubMipHeurLevel-0,SubMipHeurLevel-1,RootCutLevel-0
test_1600r_1600c_0.01d_instance_148,148.86,124.0,152.47,120.69
test_1600r_1600c_0.01d_instance_284,112.45,90.19,107.2,99.76
test_1600r_1600c_0.01d_instance_314,180.0,180.0,180.0,180.0
test_1600r_1600c_0.01d_instance_332,36.84,32.08,41.01,47.07
test_1600r_1600c_0.01d_instance_333,101.41,77.76,90.0,78.75
test_1600r_1600c_0.01d_instance_363,16.21,9.29,11.35,13.86
test_1600r_1600c_0.01d_instance_458,127.42,128.33,139.11,123.7
test_1600r_1600c_0.05d_instance_141,36.36,35.61,37.11,36.4
test_1600r_1600c_0.05d_instance_172,11.65,4.6,10.72,10.09
test_1600r_1600c_0.05d_instance_22,13.58,8.16,12.39,13.23
test_1600r_1600c_0.05d_instance_254,24.11,15.15,23.93,19.34
test_1600r_1600c_0.05d_instance_290,98.92,60.28,77.31,73.53
test_1600r_1600c_0.05d_instance_313,10.55,5.74,9.32,10.89
test_1600r_1600c_0.05d_instance_362,10.46,6.49,9.82,10.04
test_1600r_1600c_0.05d_instance_366,119.81,91.9,129.26,115.74
test_1600r_1600c_0.05d_instance_436,72.37,54.16,62.9,54.81
test_1600r_1600c_0.05d_instance_447,59.94,51.9,61.09,59.17
test_1600r_1600c_0.05d_instance_473,74.79,60.27,71.45,78.42
test_1600r_1600c_0.05d_instance_481,31.67,29.62,31.14,30.26
test_1600r_1600c_0.05d_instance_485,12.56,9.49,14.42,12.27
test_1600r_1600c_0.05d_instance_52,37.74,37.04,34.95,27.69
test_1600r_1600c_0.05d_instance_87,14.68,8.9,17.23,13.91
test_1600r_400c_0.01d_instance_119,0.06,0.05,0.06,0.07
test_1600r_400c_0.01d_instance_143,0.06,0.06,0.06,0.06
test_1600r_400c_0.01d_instance_15,0.05,0.06,0.06,0.07
test_1600r_400c_0.01d_instance_209,0.08,0.07,0.07,0.07
test_1600r_400c_0.01d_instance_283,0.06,0.06,0.06,0.05
test_1600r_400c_0.01d_instance_38,0.03,0.04,0.03,0.04
test_1600r_400c_0.01d_instance_381,0.06,0.05,0.06,0.07
test_1600r_400c_0.01d_instance_390,0.06,0.06,0.06,0.06
test_1600r_400c_0.01d_instance_391,0.05,0.05,0.05,0.05
test_1600r_400c_0.01d_instance_426,0.08,0.07,0.07,0.07
test_1600r_400c_0.05d_instance_100,53.06,38.71,42.32,52.62
test_1600r_400c_0.05d_instance_14,8.1,4.41,7.02,10.27
test_1600r_400c_0.05d_instance_181,88.24,87.32,74.16,84.75
test_1600r_400c_0.05d_instance_249,77.39,84.53,68.82,72.97
test_1600r_400c_0.05d_instance_331,16.42,11.77,18.02,25.45
test_1600r_400c_0.05d_instance_345,39.89,26.69,34.16,37.37
test_1600r_400c_0.05d_instance_378,7.55,3.9,6.95,7.3
test_1600r_400c_0.05d_instance_379,30.05,21.56,27.38,28.22
test_1600r_400c_0.05d_instance_40,171.97,143.99,163.77,172.57
test_1600r_400c_0.05d_instance_70,52.72,39.1,47.05,50.04
test_1600r_400c_0.25d_instance_162,1.43,0.86,1.27,1.03
test_1600r_400c_0.25d_instance_256,1.15,0.59,0.76,1.08
test_1600r_400c_0.25d_instance_292,0.66,0.52,1.0,0.67
test_1600r_400c_0.25d_instance_308,1.26,0.57,0.78,0.83
test_1600r_400c_0.25d_instance_35,1.16,0.61,1.08,1.07
test_1600r_400c_0.25d_instance_480,1.65,0.73,1.28,1.52
test_1600r_400c_0.25d_instance_485,1.36,0.61,1.04,1.19
test_1600r_400c_0.25d_instance_85,9.55,4.15,8.4,9.22
test_1600r_400c_0.25d_instance_9,1.19,0.67,1.06,1.18
test_1600r_800c_0.01d_instance_114,28.99,15.13,20.65,28.63
test_1600r_800c_0.01d_instance_119,17.51,8.56,12.36,16.63
test_1600r_800c_0.01d_instance_147,180.0,110.97,137.82,175.64
test_1600r_800c_0.01d_instance_222,92.2,67.03,81.62,76.25
test_1600r_800c_0.01d_instance_247,1.8,1.01,1.38,1.59
test_1600r_800c_0.01d_instance_30,42.56,26.39,37.56,37.96
test_1600r_800c_0.01d_instance_300,180.0,180.0,180.0,180.0
test_1600r_800c_0.01d_instance_316,180.0,180.0,180.0,180.0
test_1600r_800c_0.01d_instance_318,18.26,8.73,10.41,13.5
test_1600r_800c_0.01d_instance_341,80.5,71.83,79.89,67.81
test_1600r_800c_0.01d_instance_393,43.97,29.19,22.01,28.07
test_1600r_800c_0.01d_instance_410,75.46,57.85,73.05,64.01
test_1600r_800c_0.01d_instance_421,2.56,1.06,1.68,1.9
test_1600r_800c_0.01d_instance_440,180.0,180.0,180.0,180.0
test_1600r_800c_0.01d_instance_451,25.11,14.06,17.8,18.98
test_1600r_800c_0.01d_instance_477,28.26,17.98,20.6,47.02
test_1600r_800c_0.01d_instance_484,36.26,27.75,21.89,36.2
test_1600r_800c_0.05d_instance_115,25.67,19.85,23.55,22.42
test_1600r_800c_0.05d_instance_129,2.86,1.61,2.22,2.42
test_1600r_800c_0.05d_instance_138,5.16,1.95,3.0,8.19
test_1600r_800c_0.05d_instance_15,180.0,180.0,180.0,180.0
test_1600r_800c_0.05d_instance_177,60.52,49.11,54.38,61.11
test_1600r_800c_0.05d_instance_215,9.92,6.14,8.79,8.81
test_1600r_800c_0.05d_instance_240,15.3,7.75,13.76,14.6
test_1600r_800c_0.05d_instance_273,31.02,14.65,24.92,30.72
test_1600r_800c_0.05d_instance_291,78.34,62.56,71.35,76.43
test_1600r_800c_0.05d_instance_293,94.64,100.31,90.17,95.58
test_1600r_800c_0.05d_instance_326,26.51,19.47,24.09,25.94
test_1600r_800c_0.05d_instance_339,180.0,180.0,180.0,180.0
test_1600r_800c_0.05d_instance_36,36.45,26.19,35.82,34.72
test_1600r_800c_0.05d_instance_395,51.58,44.43,49.03,53.92
test_1600r_800c_0.05d_instance_401,19.19,7.83,13.46,19.76
test_1600r_800c_0.05d_instance_485,38.55,29.05,31.63,38.67
test_1600r_800c_0.05d_instance_89,54.16,43.72,47.3,48.23
test_1600r_800c_0.25d_instance_221,3.45,2.51,3.03,3.34
test_1600r_800c_0.25d_instance_260,3.89,3.42,3.67,3.46
test_1600r_800c_0.25d_instance_344,3.4,2.69,2.99,2.99
test_1600r_800c_0.25d_instance_379,2.98,2.34,2.7,2.68
test_1600r_800c_0.25d_instance_387,3.59,2.16,3.12,3.47
test_1600r_800c_0.25d_instance_399,3.6,2.6,3.25,3.58
test_1600r_800c_0.25d_instance_411,3.35,2.68,2.82,2.76
test_1600r_800c_0.25d_instance_459,4.66,2.5,3.47,4.5
test_1600r_800c_0.25d_instance_470,5.33,3.01,4.06,5.36
test_1600r_800c_0.25d_instance_471,3.06,2.39,2.75,2.82
test_200r_1600c_0.01d_instance_101,0.01,0.01,0.01,0.01
test_200r_1600c_0.01d_instance_186,0.0,0.0,0.0,0.0
test_200r_1600c_0.01d_instance_28,0.02,0.01,0.01,0.02
test_200r_1600c_0.01d_instance_484,0.01,0.01,0.01,0.02
test_200r_1600c_0.01d_instance_96,0.05,0.04,0.04,0.02
test_200r_1600c_0.05d_instance_122,0.18,0.08,0.17,0.15
test_200r_1600c_0.05d_instance_136,0.21,0.16,0.15,0.16
test_200r_1600c_0.05d_instance_244,0.12,0.08,0.08,0.12
test_200r_1600c_0.05d_instance_295,0.3,0.19,0.28,0.3
test_200r_1600c_0.05d_instance_335,0.17,0.09,0.09,0.16
test_200r_1600c_0.05d_instance_346,0.25,0.08,0.1,0.25
test_200r_1600c_0.05d_instance_355,0.19,0.08,0.08,0.23
test_200r_1600c_0.05d_instance_392,0.24,0.1,0.15,0.27
test_200r_1600c_0.05d_instance_445,0.56,0.18,0.36,0.34
test_200r_1600c_0.05d_instance_465,0.15,0.09,0.09,0.15
test_200r_1600c_0.05d_instance_50,0.28,0.15,0.22,0.26
test_200r_1600c_0.05d_instance_500,0.24,0.12,0.11,0.18
test_200r_1600c_0.05d_instance_92,0.38,0.17,0.44,0.32
test_200r_1600c_0.25d_instance_129,0.23,0.09,0.21,0.2
test_200r_1600c_0.25d_instance_19,0.34,0.13,0.24,0.31
test_200r_1600c_0.25d_instance_21,0.27,0.1,0.09,0.26
test_200r_1600c_0.25d_instance_227,0.17,0.09,0.1,0.16
test_200r_1600c_0.25d_instance_261,0.25,0.13,0.24,0.16
test_200r_1600c_0.25d_instance_275,0.17,0.09,0.21,0.16
test_200r_1600c_0.25d_instance_312,0.43,0.17,0.34,0.27
test_200r_1600c_0.25d_instance_362,0.32,0.15,0.2,0.24
test_200r_1600c_0.25d_instance_367,0.27,0.12,0.18,0.25
test_200r_1600c_0.25d_instance_379,0.36,0.14,0.23,0.35
test_200r_1600c_0.25d_instance_435,0.24,0.1,0.12,0.24
