Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_Symmetries
test1541937.run0000.test_1200_16_instance_108.log,test_1200_16_instance_108,0.0,1.0,0.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.73,1.0,9.320539164274258,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.4095174796558173,0.4095174796558173,-inf,9.32482909846088,7.090076835776092,0.0023211896905377,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0001.test_1200_16_instance_133.log,test_1200_16_instance_133,0.0,1.0,0.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.0,9.330165765044532,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.3997333332715298,0.3997333332715298,-inf,9.333177281935246,7.090076835776092,0.0023121370242622,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0002.test_1200_16_instance_158.log,test_1200_16_instance_158,0.0,1.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.71,1.0,9.324472306021095,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.4188875042915158,0.4188875042915158,-inf,9.326700173092378,7.090076835776092,0.0023180375051925,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0003.test_1200_16_instance_336.log,test_1200_16_instance_336,0.0,1.0,0.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4029999999999999,0.53,1.0,9.323490469908839,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.4027078483723905,0.4027078483723905,-inf,9.325809621782296,7.090076835776092,0.0023163162271323,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0004.test_1200_16_instance_386.log,test_1200_16_instance_386,0.0,1.0,0.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391,0.6,1.0,9.329455852866344,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.3913488539375579,0.3913488539375579,-inf,9.332115428902105,7.090076835776092,0.0023126014460675,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0005.test_1200_16_instance_392.log,test_1200_16_instance_392,0.0,1.0,0.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.66,1.0,9.324383088016843,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.3890371594516182,0.3890371594516182,-inf,9.32750099174976,7.090076835776092,0.0023178866850484,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0006.test_1200_16_instance_459.log,test_1200_16_instance_459,0.0,1.0,0.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,0.56,1.0,9.334326351757174,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.4151258210577449,0.4151258210577449,-inf,9.337237305164534,7.090076835776092,0.0023085674858334,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0007.test_1200_16_instance_462.log,test_1200_16_instance_462,0.0,1.0,0.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3879999999999999,0.72,1.0,9.33326571881348,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.3877015685276751,0.3877015685276751,-inf,9.336267928573973,7.090076835776092,0.0023099982366425,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0008.test_1200_16_instance_559.log,test_1200_16_instance_559,0.0,1.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.62,1.0,9.337061124755339,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.3963546734244223,0.3963546734244223,-inf,9.338293736286644,7.090076835776092,0.0022985775040328,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
test1541937.run0009.test_1200_16_instance_566.log,test_1200_16_instance_566,0.0,1.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402,0.64,1.0,9.336708670790989,7.090076835776092,1.0,0.0,0.0,0.0,0.0,0.40217732579088117,0.40217732579088117,-inf,9.33917324381915,7.090076835776092,0.0023005128205128,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
