Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_Symmetries
test1387800.run0000.load_balancing_0.log,load_balancing_0,1.0,2.0,1023.0,66.0,0.0,0.0,892.0,2902.0,2937.0,0.0,0.0087,391.0,0.22,8.884887201837403,8.311889558230359,0.21979371316306484,0.0,0.0,2.2926347621408776,0.42502296249527594,0.008696057818659677,0.4300229960578187,0.9795397929382313,11.07176581943734,11.018629143155447,9.314668014247456e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155450885292791,0.9844549114707208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9327053117567504,0.0,0.0672946882432495,0
test1387800.run1111.load_balancing_1.log,load_balancing_1,1.0,2.0,986.3,66.0,0.0,0.0,949.0,2822.0,2792.0,248.0,0.0032,444.0,0.216,8.896724917497897,8.321907968230423,0.2161439338682227,0.0,0.0,2.2926347621408776,0.47522396473423556,0.003150607287449424,0.4768773279352227,0.9933702685023231,11.072278675825483,11.018629143155447,9.37789888239726e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155371181753208,0.9844628818246792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322270905192503,0.0,0.0677729094807495,0
test1387800.run0111.load_balancing_10.log,load_balancing_10,1.0,2.0,1042.0,62.0,0.0,0.0,852.0,2291.0,2888.0,66.0,0.0036,436.0,0.223,8.871505346165781,8.299783171949787,0.22296793437733034,0.0,0.0,2.2926347621408776,0.4554643596991463,0.003577231565329948,0.45741228978007764,0.9921459681989325,11.07106604566896,11.018629143155447,9.156550185600578e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155559703814323,0.9844440296185676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333582228859436,0.0,0.0666417771140563,0
test1387800.run0011.load_balancing_100.log,load_balancing_100,1.0,2.0,543.1,72.0,0.0,0.0,852.0,2633.0,2314.0,172.0,0.0034,231.0,0.212,8.85922139360813,8.282735880201754,0.21213653603034133,0.0,0.0,2.2926347621408776,0.46001700719820193,0.003367381974248896,0.4618353361945637,0.992679875044711,11.07091047386448,11.018629143155447,9.133387439124608e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155583906400721,0.984441609359928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9335034384043316,0.0,0.0664965615956685,0
test1387800.run0001.load_balancing_1000.log,load_balancing_1000,1.0,2.0,338.8,70.0,0.0,0.0,1003.0,2536.0,2698.0,400.0,0.0039,205.0,0.2239999999999999,8.856803356728378,8.286269452783065,0.2239858906525573,0.0,0.0,2.3025850929940455,0.48459019170418094,0.00391946902654875,0.48661032448377584,0.9919117863018131,11.07003882421243,11.018629143155447,8.979761049580604e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155719580180011,0.9844280419819988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934317481080071,0.0,0.0656825189199289,0
test1387800.run0002.load_balancing_1001.log,load_balancing_1001,1.0,2.0,922.9,67.0,0.0,0.0,878.0,2672.0,2760.0,214.0,0.0031,421.0,0.2189999999999999,8.907747686788648,8.33423142973486,0.21902017291066284,0.0,0.0,2.3025850929940455,0.4768823624532481,0.003148400556328194,0.4785293463143254,0.9933979513519189,11.072946548830188,11.018629143155447,9.480426756399372e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155267448179489,0.9844732551820512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931604689076935,0.0,0.0683953109230649,0
test1387800.run0003.load_balancing_1002.log,load_balancing_1002,1.0,2.0,731.5,75.0,0.0,0.0,806.0,2469.0,2806.0,158.0,0.0025,312.0,0.22,8.871365005136852,8.298290634359281,0.21981578292257903,0.0,0.0,2.3025850929940455,0.46002761502006945,0.002505608755129932,0.4613805745554036,0.9945533514221301,11.07106604566896,11.018629143155447,9.16078344967159e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155559703814323,0.9844440296185676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333582228859436,0.0,0.0666417771140563,0
test1387800.run0004.load_balancing_1003.log,load_balancing_1003,1.0,2.0,551.5,77.0,0.0,0.0,991.0,2737.0,2515.0,176.0,0.0039,266.0,0.215,8.89521858376562,8.31801027754687,0.21479131071515742,0.0,0.0,2.3025850929940455,0.5135519705788737,0.0039029185867895393,0.5154505376344085,0.9924001487475743,11.072045591890904,11.018629143155447,9.353538333528228e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155407400500411,0.9844592599499588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932444403002471,0.0,0.067555596997529,0
test1387800.run0005.load_balancing_1004.log,load_balancing_1004,1.0,2.0,792.8,71.0,0.0,0.0,1068.0,2350.0,2543.0,187.0,0.0032,354.0,0.225,8.856518497019856,8.28576542051433,0.22460297453995462,0.0,0.0,2.2926347621408776,0.491773599201585,0.003209276944065469,0.4934046384720327,0.993474076385402,11.070412481386326,11.018629143155447,9.080418764905856e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155661405311167,0.9844338594688832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9339684318670028,0.0,0.0660315681329971,0
test1387800.run0006.load_balancing_1005.log,load_balancing_1005,1.0,2.0,1465.0,62.0,0.0,0.0,968.0,2830.0,607.0,83.0,0.0053,119.0,0.223,8.851520271691061,8.279697133877628,0.22318031955363937,0.0,0.0,2.3025850929940455,0.4215906111839058,0.005276755447941918,0.4246427360774819,0.9874836979098661,11.070178962014833,11.018629143155447,9.008876558987628e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.015569775950924,0.984430224049076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934186557055444,0.0,0.065813442944556,0
test1387800.run0007.load_balancing_1006.log,load_balancing_1006,1.0,2.0,561.6,75.0,0.0,0.0,985.0,2863.0,2454.0,157.0,0.0044,285.0,0.214,8.891374009484634,8.31801027754687,0.21405906761044666,0.0,0.0,2.2926347621408776,0.5025596635351605,0.004353618421052711,0.5047253289473684,0.9913371113184293,11.072232063384616,11.018629143155447,9.37660393199112e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155378424152022,0.9844621575847978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322705449121336,0.0,0.0677294550878665,0
test1387800.run0008.load_balancing_1007.log,load_balancing_1007,1.0,2.0,908.4,76.0,0.0,0.0,892.0,2968.0,2562.0,238.0,0.0034,374.0,0.225,8.865170419651774,8.294299608857235,0.22469382654336417,0.0,0.0,2.2926347621408776,0.4624622453665023,0.0033988188976377207,0.4642892388451444,0.9926506024401103,11.070645946239251,11.018629143155447,9.08192180120964e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155625068085967,0.9844374931914032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9337504085158036,0.0,0.0662495914841962,0
test1387800.run0009.load_balancing_1008.log,load_balancing_1008,1.0,2.0,632.8,63.0,0.0,0.0,1003.0,3038.0,2551.0,387.0,0.0026,312.0,0.228,8.846496938558838,8.277920258172143,0.22789634146341464,0.0,0.0,2.2926347621408776,0.4670068955564758,0.0025887874837027076,0.468386701434159,0.994456639702037,11.069976534440393,11.018629143155447,8.995025343025651e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155729280219266,0.9844270719780732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934375681315601,0.0,0.065624318684399,0
test1387800.run0010.load_balancing_1009.log,load_balancing_1009,1.0,2.0,420.1,81.0,0.0,0.0,952.0,2828.0,2867.0,62.0,0.0073,201.0,0.212,8.85552084853691,8.28828304520769,0.21222026653256224,0.0,0.0,3.678929123260768,0.46275874885703583,0.007317711598745994,0.4666901253918495,0.9841867676908973,11.071485968689244,11.018629143155447,9.245390802022242e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.015549439442708,0.984450560557292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9329663665624854,0.0,0.0670336334375145,1
test1387800.run0022.load_balancing_101.log,load_balancing_101,1.0,2.0,497.1,84.0,0.0,0.0,963.0,3390.0,2524.0,165.0,0.0033,236.0,0.225,8.851520271691061,8.280711075662847,0.22472764124651634,0.0,0.0,2.3025850929940455,0.4584196634724888,0.0033486646884272227,0.460233234421365,0.9926951984060601,11.07025680786452,11.018629143155447,9.039414499488536e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155685639556607,0.9844314360443392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9341138373396438,0.0,0.0658861626603562,0
test1387800.run0012.load_balancing_1010.log,load_balancing_1010,1.0,2.0,707.1,72.0,0.0,0.0,1009.0,2954.0,2882.0,16.0,0.0045,286.0,0.218,8.876404915006939,8.302265794873367,0.21795189685097943,0.0,0.0,2.2926347621408776,0.43354459839456255,0.0045145114942529135,0.43610186781609195,0.98958697326418,11.07126825283867,11.018629143155447,9.20059243515683e-05,0.0,0.0163934426229508,1.0,1.0,0.0,0.0155528251706922,0.9844471748293078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9331695102415354,0.0,0.0668304897584646,0
