Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_Symmetries
test1387784.run0000.test_1082.proto.log,test_1082.proto,1.0,1.0,804.0,26.0,73.0,2317.0,100.0,845.0,22.0,22.0,0.0001,2.87,0.000765,7.037905963447182,7.175489713624222,0.09563886763580719,0.0,0.0,25.197066793314473,0.09454216950856573,9.014825289952517e-05,0.09462379495005872,0.9990464757328067,8.771059915373288,8.865735152124781,0.0056315175418954,0.0,0.0200423429781227,0.1511644318983768,0.1314043754410727,0.9335919317300232,0.0440651667959658,0.0223429014740108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440651667959658,0.0,0.9559348332040342,1
test1387784.run0001.test_1087.proto.log,test_1087.proto,1.0,1.0,455.0,105.0,3.0,276.0,138.0,919.0,19.0,36.0,0.0001,2.46,0.000664,7.224753405767971,7.316548177182976,0.11694352159468438,0.0,0.0,25.34673350737608,0.036124106204859424,9.660846328782152e-05,0.03621722477375915,0.9973256511112011,8.787067645218054,8.875426919818963,0.005714880785364,0.0,0.024601621470506,0.1593514117975957,0.1351691361476097,0.918918918918919,0.0537486639181554,0.0273324171629256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537486639181554,0.0,0.9462513360818444,1
test1387784.run0002.test_1112.proto.log,test_1112.proto,1.0,2.0,13.4,57.0,0.0,4.0,129.0,594.0,351.0,11.0,0.13,4.3,0.000676,7.164720378771857,7.299797366758161,0.08986486486486486,0.0,0.0,25.708971748000142,0.1990861541962747,0.13002986010577186,0.30322886952290884,0.3468663823925282,8.771525284186465,8.865735152124781,0.0074857587150709,0.0,0.0196189131968948,0.1511644318983768,0.1326746647847565,0.9340880893300249,0.0431141439205955,0.0227977667493796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431141439205955,0.0,0.9568858560794044,1
test1387784.run0003.test_1116.proto.log,test_1116.proto,1.0,2.0,1806.0,30.0,116.0,2816.0,87.0,967.0,16.0,31.0,0.0,2.72,0.000699,7.202661196523238,7.265429723253953,0.12867132867132866,0.0,0.0,23.099755959424787,1.0,3.4029647990556845e-05,1.0,0.9999659703520094,8.790116892892472,8.877381954654766,0.0052937150346323,0.0,0.0256696428571428,0.1609933035714285,0.1354631696428571,0.9158167148728878,0.0560207033033947,0.0281625818237174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0560207033033947,0.0,0.9439792966966052,1
test1387784.run0004.test_1144.proto.log,test_1144.proto,1.0,1.0,947.0,73.0,4.0,196.0,161.0,541.0,12.0,28.0,0.0,1.8,0.000606,7.298445101508147,7.408530566894626,0.10909090909090909,0.0,0.0,26.747566026941996,1.0,2.3197335090228136e-05,1.0,0.9999768026649097,8.788593431293735,8.87640491500694,0.0060371097114503,0.0,0.0251361541684122,0.1601731601731601,0.1353162966066191,0.9173654520506176,0.0548864156121359,0.0277481323372465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548864156121359,0.0,0.945113584387864,1
test1387784.run0005.test_120.proto.log,test_120.proto,1.0,2.0,7382.0,83.0,0.0,93.0,124.0,1256.0,68.0,29.0,0.0993,6.42,0.000565,7.355001921105256,7.478734825567875,0.103954802259887,0.0,0.0,26.64639679194827,1.0,0.09931848504152792,1.0,0.900681514958472,8.790421306897867,8.877521453852872,0.007379016236884,0.0,0.0256660622123029,0.1611103361696192,0.1357232528944064,0.9156901537056764,0.0560036524121138,0.0283061938822097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0560036524121138,0.0,0.9439963475878862,1
test1387784.run0006.test_1231.proto.log,test_1231.proto,1.0,1.0,261.3,17.0,2.0,1726.0,61.0,800.0,25.0,30.0,0.0001,4.18,0.0014299999999999,7.0085051820822795,7.239932591320469,0.06169296987087518,0.0,0.0,26.957565148258784,0.03793079834596062,9.976348721828492e-05,0.03802677772446294,0.9973698553268413,8.80612448326845,8.88723835429314,0.0066844542125906,0.0,0.0303909379748584,0.1692222682690979,0.1388313302942395,0.901123595505618,0.0659176029962546,0.0329588014981273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659176029962546,0.0,0.9340823970037452,1
test1387784.run0007.test_1274.proto.log,test_1274.proto,1.0,2.0,14311.0,5.0,0.0,184.0,40.0,3649.0,68.0,17.0,1.166,7.46,0.000755,7.1459844677143876,7.1891677384203225,0.1350943396226415,0.0,0.0,23.035745003585653,0.9358069254183338,1.0,1.0,-0.06859649446702898,8.790877754224164,8.877521453852872,0.0046442311980863,0.0,0.0252475938066675,0.1611103361696192,0.1369786581113126,0.916184971098266,0.0550654091877091,0.0287496197140249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0550654091877091,0.0,0.9449345908122908,1
test1387784.run0008.test_1303.proto.log,test_1303.proto,1.0,2.0,122.8,2.0,0.0,1.0,6.0,2169.0,508.0,61.0,0.0479,12.43,0.000575,7.3388881338388785,7.461640392208574,0.10804597701149425,0.0,0.0,25.801630578482847,1.0,0.047866054147331194,1.0,0.9521339458526688,8.79300509129753,8.87905466204227,0.0072249197917036,0.0,0.0263231197771587,0.1623955431754874,0.1364902506963788,0.9134790528233152,0.0573770491803278,0.029143897996357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573770491803278,0.0,0.9426229508196722,1
test1387784.run0009.test_1352.proto.log,test_1352.proto,1.0,1.0,361.0,63.0,2.0,253.0,104.0,227.0,8.0,5.0,0.0,1.04,0.000548,7.283448228756631,7.508787170634276,0.06962719298245613,0.0,0.0,22.544418604871098,1.0,1.0609023218959729e-05,1.0,0.9999893909767811,8.763740720509464,8.861350110795998,0.0094555260880805,0.0,0.0180039693790757,0.1474340799546356,0.1295718741139779,0.9402938418255704,0.0396999062206939,0.0200062519537355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396999062206939,0.0,0.960300093779306,1
test1387784.run0010.test_1364.proto.log,test_1364.proto,1.0,2.0,41695.0,124.0,0.0,13.0,369.0,3597.0,72.0,49.0,1.338,19.67,0.000589,7.367077059881012,7.436617265234226,0.13376546847377727,0.0,0.0,25.196526690681846,0.9166508959553462,1.0,1.0,-0.09092785968183259,8.811354229965728,8.890135107818843,0.0054656714824713,0.0,0.0312672176308539,0.1716253443526171,0.1413223140495867,0.8974664679582712,0.0676602086438152,0.0348733233979135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676602086438152,0.0,0.9323397913561848,1
