Log Name,File Name,feat_Nodes,feat_Active,feat_LPit/n,feat_IntInf,feat_GlbFix,feat_GlbRed,feat_#Cuts,feat_#MCP,feat_#Sepa,feat_#Conf,feat_Gap,feat_Time,feat_obj_density,feat_pre_row,feat_pre_columns,feat_preinteger,feat_obj_dynamic,feat_RHS_dynamic,feat_Coe_dynamic,feat_DualInitialGap,feat_PrimalDualGap,feat_PrimalInitialGap,feat_GapClosed,feat_Rows,feat_Columns,feat_Nonzeros,feat_per_i,feat_per_b,feat_has_varlb,feat_has_varub,feat_Equality,feat_GreaterThan,feat_LessThan,feat_PAR,feat_PAC,feat_COV,feat_CAR,feat_EQK,feat_BIN,feat_KNA,feat_IKN,feat_M01,feat_MI,feat_CON,feat_Symmetries
test1387794.run0000.test_1600r_1600c_0.01d_instance_148.log,test_1600r_1600c_0.01d_instance_148,1.0,2.0,199.5,377.0,0.0,0.0,43.0,216.0,2381.0,83.0,0.0178,36.3,1.0,7.3777589082278725,7.202661196523238,1.0,6.904750769961838,0.0,0.0,0.029191754734003365,0.01775854522303135,0.04643189686045127,0.3916588644688185,7.377758908227872,7.234898420314831,0.0102649603460706,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0001.test_1600r_1600c_0.01d_instance_284.log,test_1600r_1600c_0.01d_instance_284,1.0,2.0,202.1,394.0,0.0,0.0,35.0,182.0,2233.0,116.0,0.0136,38.82,1.0,7.3777589082278725,7.0825485693553,1.0,6.211603589401893,0.0,0.0,0.025725703072079734,0.013558103975535179,0.03893501529051991,0.47297440472093943,7.377758908227872,7.187657164114956,0.0103930461073318,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0002.test_1600r_1600c_0.01d_instance_314.log,test_1600r_1600c_0.01d_instance_314,1.0,2.0,231.1,411.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0242,42.1,1.0,7.3777589082278725,7.166265974133638,1.0,6.907755278982137,0.0,0.0,0.026141881790770115,0.024199261463449667,0.04970852902161834,0.07431065379563939,7.377758908227872,7.226936018493289,0.0102684411337209,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0003.test_1600r_1600c_0.01d_instance_332.log,test_1600r_1600c_0.01d_instance_332,1.0,2.0,246.6,361.0,0.0,0.0,19.0,101.0,369.0,117.0,0.0172,17.12,1.0,7.3777589082278725,7.171656822768514,1.0,6.907755278982137,0.0,0.0,0.02067846371178418,0.017193370594628207,0.037516301816488115,0.16853733264381243,7.377758908227872,7.226209010100671,0.0103272727272727,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0004.test_1600r_1600c_0.01d_instance_333.log,test_1600r_1600c_0.01d_instance_333,1.0,2.0,201.6,384.0,0.0,0.0,22.0,176.0,2169.0,125.0,0.0144,36.42,1.0,7.3777589082278725,7.142036574706802,1.0,6.214608098422191,0.0,0.0,0.026230433319066503,0.014356703197718076,0.0402105539708752,0.4526699950746751,7.377758908227872,7.264730177929867,0.0102497375787263,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0005.test_1600r_1600c_0.01d_instance_363.log,test_1600r_1600c_0.01d_instance_363,1.0,2.0,205.9,315.0,0.0,0.0,4.0,9.0,315.0,163.0,0.0134,9.38,1.0,7.3777589082278725,7.047517221357295,1.0,6.900730664045172,0.0,0.0,0.02230148430181086,0.013389298736538593,0.03539218180276429,0.3996229777651439,7.377758908227872,7.190676034332207,0.0103433496608892,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0006.test_1600r_1600c_0.01d_instance_458.log,test_1600r_1600c_0.01d_instance_458,1.0,2.0,211.7,370.0,0.0,0.0,22.0,127.0,2298.0,124.0,0.0174,33.72,1.0,7.3777589082278725,7.1308988302963465,1.0,6.901737206656573,0.0,0.0,0.032193356077011015,0.017408409244600066,0.049041330204065335,0.45925459890057085,7.377758908227872,7.271703706887368,0.0102414871438498,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0007.test_1600r_1600c_0.05d_instance_141.log,test_1600r_1600c_0.05d_instance_141,1.0,2.0,112.3,151.0,0.0,0.0,0.0,0.0,5.0,135.0,0.0433,21.92,1.0,7.3777589082278725,6.049733455231958,1.0,6.003887067106539,0.0,0.0,0.08381510436407069,0.04328283642224008,0.12347018533440772,0.4835914510798571,7.377758908227872,7.366445148327599,0.0500817793931731,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0008.test_1600r_1600c_0.05d_instance_172.log,test_1600r_1600c_0.05d_instance_172,1.0,2.0,94.9,140.0,0.0,0.0,0.0,0.0,4.0,118.0,0.0321,9.64,1.0,7.3777589082278725,5.746203190540153,1.0,5.8888779583328805,0.0,0.0,0.071887231537553,0.032101333333333364,0.10168088888888886,0.5534487467838565,7.377758908227872,7.338238150065589,0.0501897756827048,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
test1387794.run0009.test_1600r_1600c_0.05d_instance_22.log,test_1600r_1600c_0.05d_instance_22,1.0,2.0,108.3,145.0,0.0,0.0,0.0,0.0,4.0,95.0,0.0411,8.59,1.0,7.3777589082278725,5.799092654460526,1.0,5.7899601708972535,0.0,0.0,0.08176640883483853,0.04111468381564846,0.11951929260450156,0.497169015962328,7.377758908227872,7.284134806195205,0.0503864962251201,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
