File Name,Rows,Columns,Nonzeros,per_i,per_b,obj_dynamic,has_varlb,has_varub,Equality,GreaterThan,LessThan,RHS_dynamic,Coe_dynamic,PAR,PAC,COV,CAR,EQK,BIN,KNA,IKN,M01,MI,CON
test_1200_16_instance_108.mps.gz,9.324829098460881,7.090076835776092,0.002321189690537769,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_133.mps.gz,9.333177281935246,7.090076835776092,0.0023121370242622564,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_158.mps.gz,9.326700173092378,7.090076835776092,0.0023180375051925703,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_336.mps.gz,9.325809621782296,7.090076835776092,0.0023163162271323356,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_386.mps.gz,9.332115428902103,7.090076835776092,0.0023126014460675814,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_392.mps.gz,9.32750099174976,7.090076835776092,0.0023178866850484744,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_459.mps.gz,9.337237305164534,7.090076835776092,0.0023085674858334066,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_462.mps.gz,9.336267928573973,7.090076835776092,0.0023099982366425673,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_559.mps.gz,9.338293736286644,7.090076835776092,0.0022985775040328493,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_566.mps.gz,9.33917324381915,7.090076835776092,0.0023005128205128207,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_57.mps.gz,9.330520532232288,7.090076835776092,0.0023114155656055097,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_609.mps.gz,9.325364048544964,7.090076835776092,0.00231638292182904,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_619.mps.gz,9.332558004700433,7.090076835776092,0.00230405604719764,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_62.mps.gz,9.335121088873489,7.090076835776092,0.0023027186865566245,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_621.mps.gz,9.330165765044532,7.090076835776092,0.002309204884828055,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_625.mps.gz,9.338733586744581,7.090076835776092,0.0023035766637349753,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_643.mps.gz,9.3350328159335,7.090076835776092,0.0023032162193973634,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_649.mps.gz,9.327589932026422,7.088408778675395,0.0023083355456057736,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_652.mps.gz,9.33184978937338,7.090076835776092,0.002309599716613532,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_681.mps.gz,9.331318298529085,7.090076835776092,0.002309646169295292,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_727.mps.gz,9.331938343723671,7.090076835776092,0.0023056318073142656,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_750.mps.gz,9.329899607033822,7.090076835776092,0.0023096716947648625,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_864.mps.gz,9.331584079261546,7.090076835776092,0.0023108040275194143,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_920.mps.gz,9.327767788852148,7.090076835776092,0.0023153417511411465,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_965.mps.gz,9.330431852234003,7.090076835776092,0.0023153157147924796,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_968.mps.gz,9.329367078397823,7.090076835776092,0.0023174124053030303,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_976.mps.gz,9.335562336729565,7.090076835776092,0.00230214399152991,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_16_instance_978.mps.gz,9.331318298529085,7.090076835776092,0.0023100153582609724,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_2_instance_197.mps.gz,1.3862943611198906,1.3862943611198906,0.5,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_2_instance_21.mps.gz,1.6094379124341003,1.6094379124341003,0.4,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_123.mps.gz,9.764053056544551,7.090076835776092,0.002601214768829875,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_191.mps.gz,9.763535592108683,7.090076835776092,0.0026047178130511463,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_203.mps.gz,9.770013301136158,7.090076835776092,0.002604136906462488,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_226.mps.gz,9.76818316050523,7.090076835776092,0.002599366496842025,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_277.mps.gz,9.774175816055788,7.090076835776092,0.0026018550130875156,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_310.mps.gz,9.767954157240933,7.090076835776092,0.002594999522855234,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_362.mps.gz,9.772182251758139,7.090076835776092,0.0025989699146663626,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_428.mps.gz,9.766292313358283,7.090076835776092,0.0026069148122658103,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_451.mps.gz,9.768240403128102,7.090076835776092,0.002601888952489983,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_452.mps.gz,9.765144602914383,7.090076835776092,0.0026044537589955596,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_1200_32_instance_484.mps.gz,9.771840098470129,7.090076835776092,0.0025994315481282916,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
