File Name,Rows,Columns,Nonzeros,per_i,per_b,obj_dynamic,has_varlb,has_varub,Equality,GreaterThan,LessThan,RHS_dynamic,Coe_dynamic,PAR,PAC,COV,CAR,EQK,BIN,KNA,IKN,M01,MI,CON
test_1600r_1600c_0.01d_instance_148.mps.gz,7.3777589082278725,7.234898420314831,0.010264960346070657,0.0,1.0,6.905753276311464,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.01d_instance_284.mps.gz,7.3777589082278725,7.187657164114956,0.010393046107331822,0.0,1.0,6.2136075980886085,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.01d_instance_314.mps.gz,7.3777589082278725,7.226936018493289,0.01026844113372093,0.0,1.0,6.90875477931522,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.01d_instance_332.mps.gz,7.3777589082278725,7.226209010100671,0.010327272727272727,0.0,1.0,6.90875477931522,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.01d_instance_333.mps.gz,7.3777589082278725,7.264730177929867,0.010249737578726383,0.0,1.0,6.2166061010848646,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.01d_instance_363.mps.gz,7.3777589082278725,7.190676034332207,0.010343349660889224,0.0,1.0,6.906754778648554,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.01d_instance_458.mps.gz,7.3777589082278725,7.271703706887368,0.010241487143849896,0.0,1.0,6.907755278982137,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_141.mps.gz,7.3777589082278725,7.366445148327599,0.050081779393173195,0.0,1.0,6.90875477931522,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_172.mps.gz,7.3777589082278725,7.338238150065589,0.05018977568270481,0.0,1.0,6.90875477931522,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_22.mps.gz,7.3777589082278725,7.284134806195205,0.05038649622512011,0.0,1.0,6.907755278982137,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_254.mps.gz,7.3777589082278725,7.191429330036379,0.050589702560240965,0.0,1.0,6.905753276311464,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_290.mps.gz,7.3777589082278725,7.371489295214277,0.050061713836477985,0.0,1.0,6.90875477931522,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_313.mps.gz,7.3777589082278725,7.309212365692763,0.0503380187416332,0.0,1.0,6.904750769961838,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_362.mps.gz,7.3777589082278725,7.242797922793756,0.05055525751072961,0.0,1.0,6.2136075980886085,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_366.mps.gz,7.3777589082278725,7.340835554123275,0.050262645914396886,0.0,1.0,6.215607598755275,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_436.mps.gz,7.3777589082278725,7.356279876550748,0.050142480842911875,0.0,1.0,6.906754778648554,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_447.mps.gz,7.3777589082278725,7.369600720526409,0.05006183049779458,0.0,1.0,6.90875477931522,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_473.mps.gz,7.3777589082278725,7.349873704738337,0.05019360539845758,0.0,1.0,6.90875477931522,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_481.mps.gz,7.3777589082278725,7.356918242356021,0.05015993937460115,0.0,1.0,6.2166061010848646,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_485.mps.gz,7.3777589082278725,7.223295679562314,0.050424416484318016,0.0,1.0,6.210600077024653,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_52.mps.gz,7.3777589082278725,7.304515946460155,0.05032447881640888,0.0,1.0,6.214608098422191,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_1600c_0.05d_instance_87.mps.gz,7.3777589082278725,7.2682230211595655,0.050415359135285914,0.0,1.0,6.906754778648554,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_400c_0.01d_instance_119.mps.gz,6.459904454377535,5.765191102784844,0.01252937338415726,0.0,1.0,6.904750769961838,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_400c_0.01d_instance_143.mps.gz,6.3818160174060985,5.765191102784844,0.012496751162951058,0.0,1.0,6.904750769961838,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_400c_0.01d_instance_15.mps.gz,6.558197802812269,5.793013608384144,0.012208095485210171,0.0,1.0,4.968820743663249,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_400c_0.01d_instance_209.mps.gz,6.642486801367256,5.831882477283517,0.011867847843790982,0.0,1.0,5.809142990314028,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_400c_0.01d_instance_283.mps.gz,6.508769136971682,5.7745515455444085,0.012366820634817784,0.0,1.0,5.516448376038702,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_400c_0.01d_instance_38.mps.gz,5.91350300563827,5.455321115357702,0.015696465696465697,0.0,1.0,5.521460917862246,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
test_1600r_400c_0.01d_instance_381.mps.gz,6.4692503167957724,5.799092654460526,0.012619215409913084,0.0,1.0,6.210600077024653,1.0,1.0,0.0,1.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
