Log Name,File Name,c_i,c_d,c_p
test1541937.run0000.test_1200_16_instance_108.log,test_1200_16_instance_108,436.9308,412.9195,258.0
test1541937.run0001.test_1200_16_instance_133.log,test_1200_16_instance_133,431.4749,410.0229,263.0
test1541937.run0002.test_1200_16_instance_158.log,test_1200_16_instance_158,430.2093,410.0013,252.0
test1541937.run0003.test_1200_16_instance_336.log,test_1200_16_instance_336,430.2752,410.1045,260.0
test1541937.run0004.test_1200_16_instance_386.log,test_1200_16_instance_386,433.746,412.9513,265.0
test1541937.run0005.test_1200_16_instance_392.log,test_1200_16_instance_392,433.7416,412.3524,267.0
test1541937.run0006.test_1200_16_instance_459.log,test_1200_16_instance_459,430.8619,410.4575,258.0
test1541937.run0007.test_1200_16_instance_462.log,test_1200_16_instance_462,431.1623,410.055,264.0
test1541937.run0008.test_1200_16_instance_559.log,test_1200_16_instance_559,434.0297,411.7528,270.0
test1541937.run0009.test_1200_16_instance_566.log,test_1200_16_instance_566,431.5661,411.2123,259.0
test1541937.run0010.test_1200_16_instance_57.log,test_1200_16_instance_57,430.39,410.675,253.0
test1541937.run0011.test_1200_16_instance_609.log,test_1200_16_instance_609,432.2802,411.9143,264.0
test1541937.run0012.test_1200_16_instance_619.log,test_1200_16_instance_619,433.2362,413.4465,277.0
test1541937.run0015.test_1200_16_instance_62.log,test_1200_16_instance_62,433.2365,410.9491,262.0
test1541937.run0013.test_1200_16_instance_621.log,test_1200_16_instance_621,429.8032,410.3339,242.0
test1541937.run0014.test_1200_16_instance_625.log,test_1200_16_instance_625,428.258,409.5883,250.0
test1541937.run0016.test_1200_16_instance_643.log,test_1200_16_instance_643,429.9305,409.4854,257.0
test1541937.run0017.test_1200_16_instance_649.log,test_1200_16_instance_649,430.6089,410.8157,264.0
test1541937.run0018.test_1200_16_instance_652.log,test_1200_16_instance_652,433.0,410.2745,250.0
test1541937.run0019.test_1200_16_instance_681.log,test_1200_16_instance_681,427.1023,409.5354,253.0
test1541937.run0020.test_1200_16_instance_727.log,test_1200_16_instance_727,429.835,410.7789,256.0
test1541937.run0021.test_1200_16_instance_750.log,test_1200_16_instance_750,430.718,410.0198,256.0
test1541937.run0022.test_1200_16_instance_864.log,test_1200_16_instance_864,428.49,409.5078,264.0
test1541937.run0023.test_1200_16_instance_920.log,test_1200_16_instance_920,430.9785,410.596,258.0
test1541937.run0024.test_1200_16_instance_965.log,test_1200_16_instance_965,432.9715,411.3727,271.0
test1541937.run0025.test_1200_16_instance_968.log,test_1200_16_instance_968,428.1706,410.0405,268.0
test1541937.run0026.test_1200_16_instance_976.log,test_1200_16_instance_976,427.536,408.8208,256.0
test1541937.run0027.test_1200_16_instance_978.log,test_1200_16_instance_978,431.9132,410.436,263.0
test1541937.run0028.test_1200_2_instance_197.log,test_1200_2_instance_197,-1e+30,-1e+30,1e+30
test1541937.run0029.test_1200_2_instance_21.log,test_1200_2_instance_21,690.5,690.5,690.0
test1541937.run0030.test_1200_32_instance_123.log,test_1200_32_instance_123,357.6858,346.2271,162.0
test1541937.run0031.test_1200_32_instance_191.log,test_1200_32_instance_191,356.0576,344.7262,168.0
test1541937.run0032.test_1200_32_instance_203.log,test_1200_32_instance_203,357.8661,347.0382,163.0
test1541937.run0033.test_1200_32_instance_226.log,test_1200_32_instance_226,356.5428,346.3922,158.0
test1541937.run0034.test_1200_32_instance_277.log,test_1200_32_instance_277,356.934,346.9183,162.0
test1541937.run0035.test_1200_32_instance_310.log,test_1200_32_instance_310,358.5503,346.8626,163.0
test1541937.run0036.test_1200_32_instance_362.log,test_1200_32_instance_362,357.6549,347.6105,159.0
test1541937.run0037.test_1200_32_instance_428.log,test_1200_32_instance_428,358.6698,347.2801,170.0
test1541937.run0038.test_1200_32_instance_451.log,test_1200_32_instance_451,356.7245,345.9066,167.0
test1541937.run0039.test_1200_32_instance_452.log,test_1200_32_instance_452,358.0889,346.948,165.0
test1541937.run0040.test_1200_32_instance_484.log,test_1200_32_instance_484,357.1743,347.0416,161.0
test1541937.run0041.test_1200_32_instance_572.log,test_1200_32_instance_572,358.6924,347.0504,160.0
test1541937.run0042.test_1200_32_instance_610.log,test_1200_32_instance_610,358.6128,346.6134,158.0
test1541937.run0043.test_1200_32_instance_611.log,test_1200_32_instance_611,358.9136,347.6015,174.0
test1541937.run0044.test_1200_32_instance_628.log,test_1200_32_instance_628,358.8264,346.7468,163.0
test1541937.run0045.test_1200_32_instance_645.log,test_1200_32_instance_645,356.6793,345.2767,158.0
test1541937.run0046.test_1200_32_instance_662.log,test_1200_32_instance_662,358.4438,347.3559,173.0
test1541937.run0047.test_1200_32_instance_701.log,test_1200_32_instance_701,359.1375,347.3859,174.0
test1541937.run0048.test_1200_32_instance_720.log,test_1200_32_instance_720,359.6566,349.1528,171.0
test1541937.run0049.test_1200_32_instance_775.log,test_1200_32_instance_775,359.0372,346.9811,166.0
