Log Name,File Name,c_i,Nodes,Active,LPit/n,IntInf,GlbFix,GlbRed,#Cuts,#MCP,#Sepa,#Conf,BestBound,BestSolution,Gap,Time,pres_max_A,pres_min_A,pres_max_rhs,pres_min_rhs,pres_max_obj,pres_min_obj,obj_density
test1541937.run0000.test_1200_16_instance_108.log,test_1200_16_instance_108,436.9308,0.0,1.0,0.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,436.9308,258.0,0.41,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0001.test_1200_16_instance_133.log,test_1200_16_instance_133,431.4749,0.0,1.0,0.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,431.4749,259.0,0.4,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0002.test_1200_16_instance_158.log,test_1200_16_instance_158,430.2093,0.0,1.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,430.2093,250.0,0.419,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0003.test_1200_16_instance_336.log,test_1200_16_instance_336,430.2752,0.0,1.0,0.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,430.2752,257.0,0.40299999999999997,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0004.test_1200_16_instance_386.log,test_1200_16_instance_386,433.746,0.0,1.0,0.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,433.746,264.0,0.391,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0005.test_1200_16_instance_392.log,test_1200_16_instance_392,433.7416,0.0,1.0,0.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,433.7416,265.0,0.389,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0006.test_1200_16_instance_459.log,test_1200_16_instance_459,430.8619,0.0,1.0,0.0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,430.8619,252.0,0.415,0.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0007.test_1200_16_instance_462.log,test_1200_16_instance_462,431.1623,0.0,1.0,0.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,431.1623,264.0,0.38799999999999996,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0008.test_1200_16_instance_559.log,test_1200_16_instance_559,434.0297,0.0,1.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0297,262.0,0.396,0.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0009.test_1200_16_instance_566.log,test_1200_16_instance_566,431.5661,0.0,1.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,431.5661,258.0,0.402,0.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0010.test_1200_16_instance_57.log,test_1200_16_instance_57,430.39,0.0,1.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,430.39,250.0,0.419,0.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0011.test_1200_16_instance_609.log,test_1200_16_instance_609,432.2802,0.0,1.0,0.0,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,432.2802,259.0,0.401,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0012.test_1200_16_instance_619.log,test_1200_16_instance_619,433.2362,0.0,1.0,0.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,433.2362,277.0,0.361,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0015.test_1200_16_instance_62.log,test_1200_16_instance_62,433.2365,0.0,1.0,0.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,433.2365,255.0,0.41100000000000003,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test1541937.run0013.test_1200_16_instance_621.log,test_1200_16_instance_621,429.8032,0.0,1.0,0.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,429.8032,241.0,0.439,0.54,1.0,1.0,1.0,1.0,1.0,1.0,1.0
