Log Name,File Name,solfndby,Nodes,Active,LPit/n,IntInf,BestBound,BestSolution,Gap,Time
test13183895.run000.10teams.log,10teams,,319,0,119.2,109,9.240000e+02,9.240000e+02,0.00%,2.20
test13183895.run001.22433.log,22433,,1,0,405.0,124,2.147700e+04,2.147700e+04,0.00%,0.26
test13183895.run002.23588.log,23588,,743,0,15.0,28,8.090000e+03,8.090000e+03,0.00%,0.82
test13183895.run003.2club200v15p5scn.log,2club200v15p5scn,,212284,45240,71.4,80,-9.871875e+01,-6.500000e+01,34.2%,7200
test13183895.run004.30_70_45_05_100.log,30_70_45_05_100,,1,0,14359,0,9.000000e+00,9.000000e+00,0.00%,11.35
test13183895.run005.30_70_45_095_100.log,30_70_45_095_100,,1,0,16573,0,3.000000e+00,3.000000e+00,0.00%,16.28
test13183895.run006.30_70_45_095_98.log,30_70_45_095_98,,1,0,0.0,2633,1.200000e+01,1.200000e+01,0.00%,4.96
test13183895.run007.30n20b8.log,30n20b8,,1,1,13722,103,3.020000e+02,3.020000e+02,0.00%,2.01
test13183895.run008.50v-10.log,50v-10,,219185,0,51.3,122,3.311180e+03,3.311180e+03,0.00%,619
test13183895.run009.8div-n59k10.log,8div-n59k10,,19037,548,850.2,1642,-7.090000e+02,--,Inf,7200
test13183895.run010.8div-n59k11.log,8div-n59k11,,319,295,13194,3563,-1.421000e+03,--,Inf,7200
test13183895.run011.8div-n59k12.log,8div-n59k12,,7,6,17794,7461,-2.845000e+03,--,Inf,7210
test13183895.run012.a1c1s1.log,a1c1s1,,34130,0,171.3,106,1.150344e+04,1.150344e+04,0.00%,245
test13183895.run013.a2c1s1.log,a2c1s1,,45525,0,135.8,105,1.088914e+04,1.088914e+04,0.00%,262
test13183895.run014.ab51-40-100.log,ab51-40-100,,4,0,4296,195,-1.042031e+10,-1.042031e+10,0.00%,8.50
test13183895.run015.ab67-40-100.log,ab67-40-100,,1,0,4761,259,-1.118625e+10,-1.118625e+10,0.00%,2.59
test13183895.run016.ab69-40-100.log,ab69-40-100,,1,0,6402,223,-1.118628e+10,-1.118628e+10,0.00%,2.66
test13183895.run017.ab71-20-100.log,ab71-20-100,,1,0,12058,253,-1.042031e+10,-1.042031e+10,0.00%,4.17
test13183895.run018.ab72-40-100.log,ab72-40-100,,1,0,10283,0,-1.118662e+10,-1.118662e+10,0.00%,4.05
test13183895.run019.academictimetablebig.log,academictimetablebig,,542,1,3754,7484,4.270000e+02,--,Inf,7200
test13183895.run020.academictimetablesmall.log,academictimetablesmall,,28931,0,270.7,89,0.000000e+00,0.000000e+00,0.00%,816
test13183895.run021.acc-tight2.log,acc-tight2,,1,0,0.0,0,0.000000e+00,0.000000e+00,0.00%,0.06
test13183895.run022.acc-tight4.log,acc-tight4,,417,0,86.7,155,0.000000e+00,0.000000e+00,0.00%,1.58
test13183895.run023.acc-tight5.log,acc-tight5,,159,0,114.1,169,0.000000e+00,0.000000e+00,0.00%,1.46
test13183895.run024.adult-max5features.log,adult-max5features,,281788,243417,260.4,2300,3.920716e+03,5.679122e+03,31.0%,7200
test13183895.run025.aflow30a.log,aflow30a,,1113,0,33.7,34,1.158000e+03,1.158000e+03,0.00%,3.31
test13183895.run026.aflow40b.log,aflow40b,,3276,0,134.4,74,1.168000e+03,1.168000e+03,0.00%,38.04
