,File Name,1,0,,,
0,10teams.mps.gz-r0,2.2,2.15,1,1,2
1,10teams.mps.gz-r1,2.16,1.87,1,1,2
2,10teams.mps.gz-r2,2.09,2.31,1,1,2
3,10teams.mps.gz-r3,2.2,2.32,1,1,2
4,10teams.mps.gz-r4,2.23,1.92,1,1,2
5,22433.mps.gz-r0,0.26,0.24,1,1,2
6,22433.mps.gz-r1,0.53,0.58,1,1,2
7,22433.mps.gz-r2,0.17,0.17,1,1,2
8,22433.mps.gz-r3,0.45,0.52,1,1,2
9,22433.mps.gz-r4,0.53,0.62,1,1,2
10,23588.mps.gz-r0,0.82,0.9,1,1,2
11,23588.mps.gz-r1,0.95,0.79,1,1,2
12,23588.mps.gz-r2,0.55,0.79,1,1,2
13,23588.mps.gz-r3,0.65,0.75,1,1,2
14,23588.mps.gz-r4,0.62,0.78,1,1,2
15,30_70_45_05_100.mps.gz-r0,11.35,11.67,1,1,2
16,30_70_45_05_100.mps.gz-r1,11.86,10.89,1,1,2
17,30_70_45_05_100.mps.gz-r2,11.37,10.99,1,1,2
18,30_70_45_05_100.mps.gz-r3,11.35,9.32,1,1,2
19,30_70_45_05_100.mps.gz-r4,13.26,11.24,1,1,2
20,30_70_45_095_100.mps.gz-r0,16.28,14.73,1,1,2
21,30_70_45_095_100.mps.gz-r1,17.59,17.1,1,1,2
22,30_70_45_095_100.mps.gz-r2,18.09,17.32,1,1,2
23,30_70_45_095_100.mps.gz-r3,14.11,13.97,1,1,2
24,30_70_45_095_100.mps.gz-r4,17.33,19.22,1,1,2
25,30_70_45_095_98.mps.gz-r0,4.96,4.2,1,1,2
26,30_70_45_095_98.mps.gz-r1,3.34,3.81,1,1,2
27,30_70_45_095_98.mps.gz-r2,3.77,3.63,1,1,2
28,30_70_45_095_98.mps.gz-r3,10.5,9.9,1,1,2
29,30_70_45_095_98.mps.gz-r4,4.79,4.36,1,1,2
30,30n20b8.mps.gz-r0,2.01,2.06,1,1,2
31,30n20b8.mps.gz-r1,2.36,2.42,1,1,2
32,30n20b8.mps.gz-r2,2.27,2.28,1,1,2
33,30n20b8.mps.gz-r3,2.47,2.49,1,1,2
34,30n20b8.mps.gz-r4,2.19,2.2,1,1,2
35,50v-10.mps.gz-r0,619.09,5264.34,1,1,2
36,50v-10.mps.gz-r1,629.3,7200,1,0,1
37,50v-10.mps.gz-r2,594.56,4746.09,1,1,2
38,50v-10.mps.gz-r3,1022.41,5941.06,1,1,2
39,50v-10.mps.gz-r4,542.71,5872.67,1,1,2
40,CMS750_4.mps.gz-r0,25.13,23.64,1,1,2
41,CMS750_4.mps.gz-r1,26.03,24.04,1,1,2
42,CMS750_4.mps.gz-r2,45.65,52.18,1,1,2
43,CMS750_4.mps.gz-r3,27.19,40.43,1,1,2
44,CMS750_4.mps.gz-r4,140.32,139.28,1,1,2
45,Test3.mps.gz-r0,1.5,1.5,1,1,2
46,Test3.mps.gz-r1,1.41,1.44,1,1,2
47,Test3.mps.gz-r2,1.46,1.46,1,1,2
48,Test3.mps.gz-r3,1.48,1.51,1,1,2
49,Test3.mps.gz-r4,1.43,1.41,1,1,2
50,a1c1s1.mps.gz-r0,245.05,1273.46,1,1,2
51,a1c1s1.mps.gz-r1,258.8,1150.17,1,1,2
52,a1c1s1.mps.gz-r2,264.7,1353.44,1,1,2
53,a1c1s1.mps.gz-r3,235.14,3342.63,1,1,2
54,a1c1s1.mps.gz-r4,250.45,1797.5,1,1,2
55,a2c1s1.mps.gz-r0,262.7,1255.58,1,1,2
56,a2c1s1.mps.gz-r1,290.57,1027.42,1,1,2
57,a2c1s1.mps.gz-r2,282.28,627.73,1,1,2
58,a2c1s1.mps.gz-r3,255.51,806,1,1,2
59,a2c1s1.mps.gz-r4,334.4,780.42,1,1,2
60,ab51-40-100.mps.gz-r0,8.55,8.41,1,1,2
61,ab51-40-100.mps.gz-r1,7.63,7.51,1,1,2
62,ab51-40-100.mps.gz-r2,8.09,7.96,1,1,2
63,ab51-40-100.mps.gz-r3,8.5,8.58,1,1,2
64,ab51-40-100.mps.gz-r4,7.73,7.72,1,1,2
65,ab67-40-100.mps.gz-r0,2.59,2.57,1,1,2
66,ab67-40-100.mps.gz-r1,3.54,3.5,1,1,2
67,ab67-40-100.mps.gz-r2,2.39,2.32,1,1,2
68,ab67-40-100.mps.gz-r3,3.22,3.25,1,1,2
69,ab67-40-100.mps.gz-r4,2.29,2.29,1,1,2
70,ab69-40-100.mps.gz-r0,2.66,2.76,1,1,2
71,ab69-40-100.mps.gz-r1,2.02,2.04,1,1,2
72,ab69-40-100.mps.gz-r2,2.21,2.18,1,1,2
73,ab69-40-100.mps.gz-r3,2.42,2.51,1,1,2
74,ab69-40-100.mps.gz-r4,2.42,2.45,1,1,2
75,ab71-20-100.mps.gz-r0,4.17,4.32,1,1,2
76,ab71-20-100.mps.gz-r1,4.5,4.37,1,1,2
77,ab71-20-100.mps.gz-r2,4.22,4.06,1,1,2
78,ab71-20-100.mps.gz-r3,4.43,4.42,1,1,2
79,ab71-20-100.mps.gz-r4,4.57,4.5,1,1,2
80,ab72-40-100.mps.gz-r0,4.05,4.12,1,1,2
81,ab72-40-100.mps.gz-r1,4.04,3.98,1,1,2
82,ab72-40-100.mps.gz-r2,3.36,3.42,1,1,2
83,ab72-40-100.mps.gz-r3,3.82,3.75,1,1,2
84,ab72-40-100.mps.gz-r4,3.94,4.02,1,1,2
85,academictimetablesmall.mps.gz-r0,816.1,821.97,1,1,2
86,academictimetablesmall.mps.gz-r1,911.8,906.73,1,1,2
87,academictimetablesmall.mps.gz-r2,689.93,666.36,1,1,2
88,academictimetablesmall.mps.gz-r3,1348.68,1333.42,1,1,2
89,academictimetablesmall.mps.gz-r4,1787.05,1666.73,1,1,2
90,acc-tight2.mps.gz-r0,0.06,0.06,1,1,2
91,acc-tight2.mps.gz-r1,0.04,0.04,1,1,2
92,acc-tight2.mps.gz-r2,0.04,0.04,1,1,2
93,acc-tight2.mps.gz-r3,2.14,2.11,1,1,2
94,acc-tight2.mps.gz-r4,0.05,0.05,1,1,2
95,acc-tight4.mps.gz-r0,1.58,1.07,1,1,2
96,acc-tight4.mps.gz-r1,1.65,1.51,1,1,2
97,acc-tight4.mps.gz-r2,1.61,1.56,1,1,2
98,acc-tight4.mps.gz-r3,1.6,1.52,1,1,2
99,acc-tight4.mps.gz-r4,1.67,1.48,1,1,2
100,acc-tight5.mps.gz-r0,1.46,1.41,1,1,2
101,acc-tight5.mps.gz-r1,1.39,1.39,1,1,2
102,acc-tight5.mps.gz-r2,1.43,1.45,1,1,2
103,acc-tight5.mps.gz-r3,1.43,1.37,1,1,2
104,acc-tight5.mps.gz-r4,1.29,1.34,1,1,2
105,aflow30a.mps.gz-r0,3.31,4.1,1,1,2
106,aflow30a.mps.gz-r1,3.68,4.59,1,1,2
